STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
4001	monv040100	3		hunter24013	1																																				
4002	monv041100	5		hunter24016	1																																				
4003	monv041300	6		hunter24019	1																																				
4004	monv040200	2		hunter24026	1																																				
4005	monv040200	3		hunter24036	1																																				
4006	Qiecuo005	1		hunter24040	1																																				
4007	monv041600	6		hunter24041	1																																				
4008	bossv040100	1		hunter24044	1																																				
4009	monv040300	6		hunter24049	1																																				
4010	monv040500	6		hunter24063	1																																				
4011	WorldNpc00022	1		hunter24065	1			1																																	
4012	monv042100	3		hunter24068_1	1																																				
4013	monv042200	3		hunter24068_2	1																																				
4014	monv042300	6		hunter24072	1																																				
4015	monrm060100	3	1233,1234,1235	hunter24075	10																																				
4016	monm060200	6		hunter24076	10																																				
4017	monm060300	6		hunter24079	10																																				
4018	monm060400	6		hunter24085	10																																				
4019	bossm060100	1		hunter24088	10																																				
4020	monm060500	6		hunter24094	10																																				
4021	monf040100	6		hunter24099	21																																				
4022	monf040200	6		hunter24102	21																																				
4023	monf040400	6		hunter24105_1	21																																				
4024	bossf040100	1		hunter24105_2	21																																				
4025	monf040500	6		hunter24112	21																																				
4026	monf041100	6		hunter24115	21																																				
4027	monf041200	6		hunter24116	21																																				
4028	monf041400	4		hunter24119_1	21																																				
4029	bossf040200	1		hunter24119_2	21																																				
4030	monrf040700	4	1004,1005,1006,1007	hunter24121	21																																				
4031	monf042100	6		hunter24122	21																																				
4032	monf042300	5		hunter24132_1	21																																				
4033	monf042400	5		hunter24132_2	21																																				
4034	monf042500	6		hunter24136_1	21																																				
4035	WorldNpc06010	1		hunter24136_2	21			1																																	
4036	monf042600	6		hunter24141_1	21																																				
4037	bossf040400	1		hunter24141_2	21																																				
4038	monf050100	6		hunter24147	22																																				
4039	monf050200	6		hunter24149	22																																				
4040	monf050300	6		hunter24154	22																																				
4041	monf051600	6		hunter24159	22																																				
4042	monf051100	6		hunter24162_1	22																																				
4043	monf051200	5		hunter24170	22																																				
4044	monrf051000	1	1011	hunter24176	22																																				
4045	bossf050100	1		hunter24178	22																																				
4046	monrf051400	2	1238,1239	hunter24183	22																																				
4047	monf051700	6		hunter24187	22																																				
4048	monf051400	8		hunter24190	22																																				
4049	WorldNpc09804	1		hunter24200	17			1																																	
4050	monrc050300	1		hunter24201	17																																				
4051	monrc050400	1		hunter24202	17																																				
4052	WorldNpc09803	1		hunter24209	17			1																																	
4053	monc051100	7		hunter24210	17																																				
4055	monrc050900	1	1018	hunter24214_1	17																																				
4056	monrc051000	1	1019	hunter24214_2	17																																				
4057	monrc051100	1	1020	hunter24214_3	17																																				
4058	WorldNpc09806	1		hunter24220_1	17			1																																	
4059	monrc050900	1	1023,1024,1025,1026	hunter24223_1	17																																				
4060	monrc051000	1		hunter24223_2	17																																				
4061	monrc051100	1		hunter24223_3	17																																				
4062	monrc051200	1		hunter24223_4	17																																				
4063	WorldNpc09601	1		hunter24226	17			1																																	
4064	WorldNpc09813	1		hunter24231	17			1																																	
4065	WorldNpc09611	1		hunter24238	17			1																																	
4066	WorldNpc00028	1		hunter24245	1			1																																	
4067	WorldNpc00030	1		hunter24249	1			1																																	
4068	WorldNpc00032	1		hunter24256	1			1																																	
4069	WorldNpc05803	1		hunter24266	21			1																																	
4070	monrv041800	3	1038,1039,1040	hunter24272	1																																				
4071	WorldNpc09616	1		hunter24279	17			1																																	
4072	bossc050100	1		hunter24281	17																																				
4073	monrv041000	1	1044	hunter24283	1																																				
4074	monc020600	6		hunter24290_1	15																																				
4075	monc033500	6		hunter24290_2	15																																				
4076	WorldNpc08841	1		hunter24299	13			1																																	
4077	monrf030300	1	1046	hunter24301_1	20																																				
4078	monrf030400	1	1053	hunter24301_2	20																																				
4079	monrc021400	3	1051,1052,1054	hunter24304	20																																				
4080	monf031300	6		hunter24309	20																																				
4081	monrf032900	4		hunter24318	20		1																																		
4082	monrf033200	6		hunter24321	20		1																																		
4083	monrf033100	3	1008,1009,1013	hunter24326	20																																				
4084	monrf033100	4	1017,1025,1041,1042	hunter24328	20																																				
4085	monf031300	6		hunter24329	20																																				
4086	bossf030200	1		hunter24333	20																																				
4087	bossf030100	1		hunter24334	20																																				
4088	WorldNpc08408	1		hunter24338	13			1																																	
4089	monrc020500	3	1057,1058,1059	hunter24344	13																																				
4090	WorldNpc08834	1		hunter24350	13			1																																	
4091	WorldNpc08519	1		hunter24354	13			1																																	
4092	WorldNpc08840	1		hunter24358	13			1																																	
4093	monc021100	6		hunter24362	13																																				
4094	monrc020900	1	1063	hunter24366	13																																				
4095	WorldNpc08860	1		hunter24371	13			1																																	
4096	monrc020800	1	1065	hunter24374	13																																				
