STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
8001	WorldNpc03826	1		hunter48001	8			1																																	
8002	WorldNpc03820	1		hunter48002	8			1																																	
8003	monm040100	6		hunter48004	8																																				
8004	monm040200	6		hunter48008	8																																				
8005	monm040300	6		hunter48012	8																																				
8006	monm040500	6		hunter48014	8																																				
8007	WorldNpc03847	1		hunter48016	8			1																																	
8008	monrm040001	3	7001,7002,7003	hunter48017	8																																				
8009	monrm040005	1	7015	hunter48022_1	8																																				
8010	monrm040006	3	7016,7017,7018	hunter48022_2	8																																				
8011	monrm040007	6	7008,7009,7010,7011,7012,7013	hunter48027	8																																				
8012	WorldNpc03810	1		hunter48029	8			1																																	
8013	WorldNpc03856	1		hunter48032	8			1																																	
8014	monrm040008	3	7019,7020,7021	hunter48036	8																																				
8015	monm040500	6		hunter48040	8																																				
8016	monm040400	6		hunter48044	8																																				
8017	monrm040009	3	7022,7023,7024	hunter48049	8																																				
8018	monm040200	6		hunter48052	8																																				
8019	monm040300	6		hunter48054	8																																				
8020	WorldNpc03928	1		hunter48069	8			1																																	
8021	monrm040009	4	7028,7029,7030,7031	hunter48064	8																																				
8022	monrm040011	3	7032,7033,7034	hunter48067	8																																				
8023	monm040400	6		hunter48072	8																																				
8024	monrm040013	3	7036,7037,7038	hunter48075	8																																				
8025	monrm040014	3	7039,7040,7041	hunter48079	8																																				
8026	WorldNpc03811	1		hunter48134	8			1																																	
8027	monm040600	6		hunter48139	8																																				
8028	WorldNpc03822	1		hunter48143	8			1																																	
8029	monm040400	6		hunter48145	8																																				
8030	monrm040026	3		hunter48150	17		1																																		
8031	monrm040021	3	7042,7043,7044	hunter48153	17																																				
8032	WorldNpc09799	1		hunter48155_1	17			1																																	
8034	monrm040023	5	7047,7048,7049,7050,7051	hunter48158	17																																				
8035	monc051200	3		hunter48160	17																																				
8036	monc051600	5		hunter48162	17																																				
8037	monrm040024	3	7052,7053,7054	hunter48164	17																																				
8038	WorldNpc09816	1		hunter48169	17			1																																	
8039	WorldNpc03825	1		hunter48174	8			1																																	
8040	monrm040025	3	7055,7056,7057	hunter48177	8																																				
8041	WorldNpc03820	1		hunter48090	8			1																																	
8042	monf070400	6		hunter48092_1	24																																				
8043	monrf070500	1		hunter48092_2	24		1																																		
8044	monrf071100	5		hunter48092_3	24		1																																		
8045	monf070600	6		hunter48101	24																																				
8046	monrf070600	5		hunter48103	24		1																																		
8047	monf070500	6		hunter48105	24																																				
8048	WorldNpc05105	1		hunter48109	24			1																																	
8049	monrf070900	6		hunter48113	24		1																																		
8050	WorldNpc05107	1		hunter48120	24			1																																	
8052	monrf071000	6		hunter48124	24		1																																		
8053	WorldNpc05108	1		hunter48127	24			1																																	
8054	WorldNpc05102	1		hunter48130	24			1																																	
8055	monm041500	6		hunter48183	8																																				
8056	monm041200	6		hunter48185	8																																				
8057	monm041300	6		hunter48189	8																																				
8058	monrm040027	6		hunter48197	8		1																																		
8059	monrm040028	6		hunter48201	8		1																																		
8060	monrm040029	6		hunter48207	8		1																																		
8061	monrm040030	6		hunter48216	8		1																																		
8062	monrm040031	6		hunter48222	8		1																																		
8063	monrm040032	6		hunter48223	8		1																																		
8064	WorldNpc04008	1		hunter48227	8			1																																	
