STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
4001	EventNpc24001	1				interact24002_1		
4002								
4003	WorldNpc00007	1	dialog_24011			interact24011	okmenu24011	
4005	Gather00003f	1	0			interact24013		
4006	Gather00003f	1	0			interact24013		
4007	Gather00004f	1	0			interact24021		
4008	Gather00004f	1	0			interact24021		
4009	Gather00004f	1	0			interact24021		
4010	Gather00004f	1	0			interact24021		
4011	Gather00004f	1	0			interact24021		
4012	FuncNpc00002	1	dialog_24034_1	useitem_39b-1		interact24034_1	okmenu24034	
4013	FuncNpc00004		dialog_24037_1			interact24037_1	okmenu24037	
4014	FuncNpc00003	1	dialog_24059_2		taskitem_5f-6|taskitem_6f-5	interact24059_2	okmenu24059_2	
4015	WorldNpc02623	10	dialog_24080_1			interact24080_1	okmenu24080_1	
4016	WorldNpc02634	10	dialog_24080_2			interact24080_2	okmenu24080_2	
4017	WorldNpc02629	10	dialog_24080_3			interact24080_3	okmenu24080_3	
4018	WorldNpc02626	10	dialog_24080_4			interact24080_4	okmenu24080_4	
4019	WorldNpc06008	10	dialog_24141_1			interact24141	okmenu24141_1	
4020	Gather00019f	22	dialog_24163_1			interact24163_1		
4021	WorldNpc09801	17	dialog_24194_1			interact24194_1		
4022	WorldNpc09606	17	dialog_24234_1			interact24234_1	okmenu24234_1	
4023	WorldNpc09602	17	dialog_24236_1			interact24236_1	okmenu24236_1	
4024	WorldNpc00032	4	dialog_24257_1			interact24257		
4025	WorldNpc00031	4	dialog_24282_1		taskitem_9b-1	interact24282_1		
4026	Gather00009a	20				interact24298		
4027	WorldNpc06459	20	dialog_24309_1			interact24309		
4029	WorldNpc06459	20	dialog_24318_1			interact24318		
4030	Gather00010a	20	dialog_24323_1			interact24323		
4031	WorldNpc08399	13	dialog_24342_1	taskitem_412-2		interact24342_1	okmenu24342_1	
4032	WorldNpc08835	13	dialog_24342_2		taskitem_412-2	interact24342_2	okmenu24342_2	
4033	Gather00010b	13				interact24342_3		
4034	WorldNpc02640	10	dialog_24388_1			interact24388_1	okmenu24388_1	
4035	EventNpc24385	10				interact24385_1		
4036	WorldNpc02907	10	dialog_24387_1			interact24387_1	okmenu24387_1	
4037	WorldNpc02910	10	dialog_24402_1			interact24402_1	okmenu24402_1	
4038	WorldNpc02522	9	dialog_24435_1	taskitem_12a-1		interact24435_1		
4039	WorldNpc02523	9	dialog_24435_2		taskitem_12a-1	interact24435_2		
4040	WorldNpc02526	9	dialog_24441_1		taskitem_13a-1	interact24441_1		
4041	WorldNpc02526	9	dialog_24441_2		taskitem_22a-1	interact24441_2		
4042	EventNpc24445	9				interact24445_1		
4043	EventNpc24447	9				interact24447_1		
4044	WorldNpc02533	9	dialog_24464_1		taskitem_414-1	interact24464_1		
4045	WorldNpc02534	9	dialog_24477_1	useitem_8a-1		interact24477_1		
4046	Gather00016a	22				interact24496_1		
4047	WorldNpc02533	9	dialog_24499_1			interact24499_1		
4048	WorldNpc06128	22	dialog_24508_1			interact24508_1		
4049	WorldNpc06132	22	dialog_24515_1		taskitem_27a-1	interact24515_1		
4050	Gather00019a	22				interact24519_1		
4051	Gather00020a	22				interact24519_2		
4052	Gather00021a	22				interact24519_3		
4053	WorldNpc06128	22	dialog_24528_1		taskitem_30a-1	interact24528_1		
4054	EventNpc24538_1	9				interact24538_1		
4055	EventNpc24538_2	9				interact24538_2		
4056	EventNpc24538_3	9				interact24538_3		
4057	Gather00023a	9		useitem_17a-1		interact24559		
4058	Gather00024a	9		useitem_19a-1		interact24566_1		
4059	WorldNpc02450	9	dialog_24589_1		taskitem_35a-1	interact24589_1		
4060	WorldNpc02451	9	dialog_24589_2		taskitem_36a-1	interact24589_2		
4061	WorldNpc02450	9	dialog_24591_1	taskitem_38a-1		interact24591_1		
4062	WorldNpc02479	9	dialog_24591_2		taskitem_38a-1|taskitem_39a-1	interact24591_2		
4063	WorldNpc02451	9	dialog_24593_1		taskitem_35a-1	interact24593_1		
4064	WorldNpc02450	9	dialog_24593_2		taskitem_36a-1	interact24593_2		
4065	WorldNpc04706	11	dialog_24635_1			interact24635_1		
4066	Gather00014b	11				interact24647_1		
4067	WorldNpc04810	11	dialog_24670_1		useitem_26b-1	interact24670_1		
4068	EventNpc24671_1	11				interact24671_1		
4069	EventNpc24671_2	11				interact24671_2		
4070	EventNpc24671_3	11				interact24671_3		
4071	WorldNpc04429	11	dialog_24673_1		taskitem_29b-1	interact24673_1		
4072	WorldNpc04707	11				interact24679_1		
4073	WorldNpc04555	11	dialog_24691_1	taskitem_88-1		interact24691_1		
4074	WorldNpc04710	11	dialog_24691_2		taskitem_88-1	interact24691_2		
4075	WorldNpc04556	11	dialog_24692_1	taskitem_24b-1		interact24692_1		
4076	WorldNpc04710	11	dialog_24692_2		taskitem_24b-1	interact24692_2		
4077	WorldNpc04557	11	dialog_24694_1			interact24694_1		
4078	Gather00014f	21	0	taskitem_15f-1		interact24107_1		
4079	Gather00015f	21	0	taskitem_16f-1		interact24107_2		
4080	WorldNpc05923	21	dialog_24104_1			interact24104_1	okmenu24104_1	
4081	WorldNpc09813	17	dialog_24232_1	useitem_5h-1		interact24232_1		
4082	WorldNpc00016	1	dialog_24026_1			interact24026_1	okmenu24026_1	
4083	WorldNpc00016	1	dialog_24026_2			interact24026_2	okmenu24026_2	
4084	Gather00003f	1	0			interact24013		
4087	WorldNpc00001	1	dialog_24005_2			interact24005_2	okmenu24005_1	
4088	WorldNpc00001	1	dialog_24005_1			interact24005_1	okmenu24005_2	
4089	WorldNpc00003	1	dialog_24010_1			interact24010_1	okmenu24010_1	
4090	WorldNpc00005	1	dialog_24010_2			interact24010_2	okmenu24010_2	
4091	WorldNpc00006	1	dialog_24010_3			interact24010_3	okmenu24010_3	
4092	EventNpc24015	1				interact24015_1		
4093	WorldNpc00010	1	dialog_24015_1			interact24015_2	okmenu24015	
4094	EventNpc24016	1				interact24016_1		
4095	EventNpc24019	1				interact24019_1		
4096	WorldNpc00014	1	dialog_24024_1		taskitem_2f-1	interact24024_1	okmenu24024	
4097	WorldNpc00017	1	dialog_24031_1			interact24031_1	okmenu24031_1	
4098	Gather00003b	1	dialog_24031_2	useitem_3f-1		interact24031_2	okmenu24031_2	
4099	FuncNpc00004	1	dialog_24041_1			interact24041_1	okmenu24041_1	
4100	EventNpc24042	1				interact24041_2		
4101	WorldNpc00018	1	dialog_24041_2			interact24041_3	okmenu24041_2	
4102	WorldNpc00020	1	dialog_24046_1	useitem_5f-1		interact24046_1	okmenu24046	
4103	WorldNpc00011	1	dialog_24018_1			interact24018_1	okmenu24018	
4104	EventNpc24049	1				interact24049_1		
4105	WorldNpc00012	1	dialog_24049_1			interact24049_2	okmenu24049	
4106	FuncNpc00002	1	dialog_24053_1		taskitem_11f-1	interact24053_1	okmenu24053_1	
4107	FuncNpc00002	1	dialog_24053_2			interact24053_2	okmenu24053_2	
4108	WorldNpc00020	1	dialog_24059_1	taskitem_5f-8|taskitem_6f-5	useitem_6f-1	interact24059_1	okmenu24059_1	
4109	EventNpc24061	1				interact24061_1		
4110	WorldNpc00045	1	dialog_24063_1			interact24063_1	okmenu24063_1	
4111	WorldNpc00022	1	dialog_24065_1	useitem_7f-1		interact24065_1	okmenu24065	
4112	WorldNpc00024	1	dialog_24068_1			interact24068_1	okmenu24068_1	
4113	WorldNpc00025	1	dialog_24068_2			interact24068_2	okmenu24068_2	
4114	WorldNpc00026	1	dialog_24070_1			interact24070_1	okmenu24070	
4115	WorldNpc00048	1	dialog_24072_1			interact24072_1	okmenu24072	
4116	Gather00009f	1		taskitem_9f-1		interact24074_1		
4117	EventNpc24074	10				interact24074_2		
4118	WorldNpc02602	10	dialog_24077_1			interact24077_1	okmenu24077	
4119	WorldNpc02605	10	dialog_24082_1		taskitem_9f-1	interact24082_1	okmenu24082	
4120	WorldNpc02607	10	dialog_24085_1			interact24085_1	okmenu24085	
4121	WorldNpc02608	10	dialog_24089_1		useitem_10f-1	interact24089_1	okmenu24089	
4122	WorldNpc00045	1	dialog_24063_2			interact24063_2	okmenu24063_2	
4123	EventNpc25180	21				interact24097_1		
4124	WorldNpc05927	21	dialog_24099_1			interact24099_1	okmenu24099_1	
4125	WorldNpc05927	22	dialog_24099_2			interact24099_2	okmenu24099_2	
4126	WorldNpc05928	21	dialog_24103_1			interact24103_1	okmenu24103_1	
4127	WorldNpc05924	21	dialog_24106_1			interact24106_1	okmenu24106_1	
4128	WorldNpc05925	21	dialog_24108_1			interact24108_1	okmenu24108_1	
4129	ItemNpc04001	21	dialog_24110_1			interact24110_1	okmenu24110_1	
4130	ItemNpc04003	21	dialog_24110_2			interact24110_2	okmenu24110_2	
4131	EventNpc24111	21				interact24111_1		
4132	WorldNpc05930	21	dialog_24113_1		taskitem_22f-1	interact24113_1	okmenu24113_1	
4133	EventNpc24113	21				interact24113_2		
4134	WorldNpc05853	21	dialog_24116_1			interact24116_1	okmenu24116_1	
4135	WorldNpc05853	21	dialog_24116_2			interact24116_2	okmenu24116_2	
4136	EventNpc24120	21				interact24120_1		
4137	WorldNpc06001	21	dialog_24122_1			interact24122_1	okmenu24122_1	
4139	EventNpc24123_1	21				interact24123_1		
4140	EventNpc24123_2	21				interact24123_2		
4141	WorldNpc06003	21	dialog_24126_1			interact24126_1	okmenu24126_1	
4142	WorldNpc06009	21	dialog_24129_1			interact24129_1	okmenu24129_1	
4143	EventNpc24132	21				interact24132_1		
4144	WorldNpc06006	21	dialog_24135_1			interact24135_1	okmenu24135_1	
