STRING	STRING	STRING	STRING	STRING	STRING													
ID	QuestionNpc	SceneID	QuestionID	TrackInfoID	TaskID													
7000	WorldNpc03335	7		questioninfo_46042														
7001																		
7002																		
7003																		
7004																		
7005																		
7006																		
7007																		
7008																		
7009																		
7010																		
7011																		
7012																		
7013																		
7014																		
7015																		
7016																		
7017																		
7018																		
7019																		
7020																		
7021																		
7022																		
7023																		
7024																		
7025																		
7026																		
7027																		
7028																		
7029																		
7030																		
7031																		
7032																		
7033																		
7034																		
7035																		
7036																		
