STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
1001	monrv040300	1	717	-37	697	300													
1002	monrv040300	1	717	-37	700	300													
1003	monrm061600	10	1098.4	92.469	95	300													
1004	monrf040700	21	285.856	16.119	240.899	300													
1005	monrf040700	21	285.655	16.094	246.17	300													
1006	monrf040700	21	284.086	16.094	253.228	300													
1007	monrf040700	21	278.431	16.093	257.729	300													
1008	monrf033100	20	608.6	-12.233	1063.7	300													
1009	monrf033100	20	606.8	-12.04	1071	300													
1010	monrf051100	22	1943	74.491	1188	300													
1011	monrf051000	22	1904.2	82.58	1199.7	300													
1012	monrf050400	22	1794	79	1074.4	300													
1013	monrf033100	20	597.27	-11.36	1074.66	300													
1014	monrc050300	17	928.712	24.323	887.135	300													
1015	monrc050400	17	937.139	24.323	875.447	300													
1016	monrc050300	17	928.712	24.323	887.135	300													
1017	monrf033100	20	664.7	-12	1059.77	300													
1018	monrc050900	17	646.012	23.5	623.77	300													
1019	monrc051000	17	647.925	23.5	624.23	300													
1020	monrc051100	17	650.683	23.5	624.1	300													
1021	monrm063600	10	806.9	46.5	438.5	300													
1022	monrm063600	10	806.7	46.5	441.2	300													
1023	monrm063600	10	1016.36	79.1	161	300													
1024	monrm063600	10	1010	79.1	154	300													
1025	monrf033100	20	661.1	-12.11	1056.62	300													
1026	monrm063600	10	1018.8	79.1	153.4	300													
1029	monrm071500	17	1028.138	14.433	1028.486	300													
1030	monrc051300	17	535.637	29.713	584.016	300													
1031	monrv040500	1	809.55	-34.565	663.436	300													
1032	monrv040600	1	772.51	-34.674	464.4	300													
1033	monrv040700	1	750.466	-37.084	511.445	300													
1034	monrv040800	1	506.77	-38.96	848.177	300													
1035	monrv040900	1	467.98	-37.182	911.91	300													
1036	monrf040500	21	567	40.45	240.4	300													
1037	monrf040600	21	409	10.5	337	300													
1038	monrv041800	1	788.37	-39.367	756.536	300													
1039	monrv041800	1	786.9	-40.519	754.317	300													
1040	monrv041800	1	789.8	-38.213	752.38	300													
1041	monrf033100	20	650.15	-12.43	1054.83	300													
1042	monrf033100	20	632.3	-14	1053.67	300													
1043	monrc050100	17	530	22.78	594	300													
1044	monrv041000	1	644.92	-39.756	681.08	300													
1045	monrc021300	13	-22	13.9	51	300													
1046	monrf030300	20	498.92	-19.09	1357.85	300													
1049	monrm061600	10	1095.7	92.469	94.2	300													
1050	monrm061600	10	1098.5	93.1	96.6	300													
1051	monrc021400	20	614.66	-12.41	1188.38	300													
1052	monrc021400	20	617.355	-12	1191.22	300													
1053	monrf030400	20	497.284	-19.364	1355.84	300													
1054	monrc021400	20	618.54	-12.59	1187.66	300													
1055	monrf030500	20	711	28.3	334	300													
1056	monrc020400	13	161	12.91	169	300													
1057	monrc020500	13	470	-106.139	161	300													
1058	monrc020500	13	467.4	-106.139	164.6	300													
1059	monrc020500	13	466.42	-106.139	159.6	300													
1060	monrc021500	13	270.68	6.316	346.29	300													
1061	monrc020600	13	117	25.55	668.17	300													
1062	monrc020700	13	122.46	2.36	423.65	300													
1063	monrc020900	13	586.9	-106.45	869.3	300													
1064	monrc021600	13	140	2.36	422	300													
1065	monrc020800	13	324.48	-143.7	1315.3	300													
1066	monrc021000	13	79.9	28.52	643.24	300													
1067	monrc021100	13	254.9	-143.7	1386.6	300													
1068	monrc021100	13	254.6	-143.7	1399.5	300													
1069	monrc021100	13	260	-143.7	1393	300													
1070	monrm061000	10	596.165	35.3	714.12	300													
1071	monrm061100	10	574.697	27.065	672.69	300													
1072	monrm061200	10	699.644	31.67	750.52	300													
1073	monrm062500	10	697.72	31.84	749.13	300													
1074	monrm062500	10	701.266	31.33	749.045	300													
1075	monrm062500	10	699.197	31.66	746.78	300													
1076	monrm061300	10	488.78	146.68	156.296	300													
1077	monrm061400	10	483.86	146.68	156.6	300													
1078	monrm061400	10	485.44	146.68	156.5	300													
1079	monrm061400	10	488.97	146.68	159	300													
1080	monrm061500	10	488.65	146.68	158.255	300													
1081	monrm061500	10	488.8	146.68	154.54	300													
1082	monrm061500	10	486.633	146.68	156.34	300													
1083	monrm061500	10	490.91	146.68	156.26	300													
1084	monrm061500	10	488.89	146.68	159.9	300													
1085	monrm061600	10	344.187	70.277	483.853	300													
1086	monrm062600	10	342.36	69.92	485.42	300													
1087	monrm062600	10	347.33	70.833	482.762	300													
1088	monrm062600	10	346.353	70.7129	485.923	300													
1089	monrm061700	10	350	10.22	280.53	300													
1090	monrm061800	10	325.55	6.86	280.66	300													
1091	monrm061800	10	329.46	6.98	278.64	300													
1092	monrm061800	10	328.47	6.85	281.125	300													
1093	monrm061900	10	823.85	292.46	-61.11	300													
1094	monrm061900	10	823.95	292.46	-63.04	300													
1095	monrm061900	10	823.73	292.46	-64.77	300													
1096	monrm062000	10	342.73	135.985	99.28	300													
1097	monrm062100	10	680.41	34.516	733.188	300													
1098	monrm062200	10	629.248	-5.03	962.7	300													
1099	monrm062300	10	627.415	-4.9	963.74	300													
1100	monrm062300	10	631	-5.317	961.466	300													
1101	monrm062300	10	630.395	-5.134	964	300													
1102	monrm062300	10	628.5	-4.962	961	300													
1103	monrm062400	10	492.2	112.77	356.81	300													
1104	monrm051300	9	592.39	-15.96	210.26	300													
1105	monrm051200	9	720.7	32.1	751	300													
1106	monrm051200	9	719	32.1	747.6	300													
1107	monrm051200	9	718.5	32	751	300													
1108	monrm052000	9	836.9	43.11	609.39	300													
1109	monrm051200	9	816	32.39	845	300													
1110	monrm051200	9	817	32.39	841	300													
1111	monrm051200	9	815	32.39	841.2	300													
1112	monrm051200	9	811.45	32.39	843.81	300													
1113	monrm051400	9	865	37.78	877	300													
1114	monrm051500	9	858.41	37.78	873.8	300													
1115	monrm051700	9	857.43	37.97142	883.49	300													
1116	monrm051800	9	875.62	37.79	874.21	300													
1117	monrm051800	9	876.62	37.79	874.21	300													
1118	monrm051800	9	875.62	37.79	876.21	300													
1119	monrm051800	9	874.62	37.79	875.21	300													
1120	monrm051800	9	876.62	37.79	876.21	300													
1121	monrm051900	9	885.88	37.88	879.79	300													
1122	monrf050900	22	1249	80.35	1201	300													
1123	monrm054400	9	801.33	33.51	872	300													
1124	monrf050600	22	1284.5	81	1312.3	300													
1125	monrf050600	22	1288	80.7	1315.7	300													
1126	monrf050600	22	1282	81.1	1310	300													
1127	monrf050700	22	1896.98	99.71	933.32	300													
1128	monrf050800	22	1275.1	78.44	1002	300													
1129	monrm055300	9	958	82	-309	300													
1130	monrm055300	9	958	82	-306	300													
1131	monrm057700	9	470	-10.38	338	300													
1132	monrm057800	9	470	88.58	1035.6	300													
1133	monrm057800	9	478.5	86	1046	300													
1134	monrm057800	9	487	86	1042	300													
1135	monrm057800	9	482.6	86	1030	300													
1136	monrm057800	9	546.3	-6.123	254.5	300													
1137	monrm057800	9	550.78	-7.15	254.58	300													
1138	monrm058000	9	467	-0.58	256	300													
1139	monrm058100	9	476.49	-9.19	362.77	300													
1140	monrm058200	9	352	-16.8	359.25	300													
1141	monrm058300	9	444.16	-14.45	358.13	300													
1142	monrm058300	9	444.16	-15.14	363.23	300													
1143	monrm058300	9	438.92	-15.66	363.85	300													
1144	monrm058300	9	440	-15.05	360	300													
1145	monrm058300	9	442.12	-15.39	361.65	300													
1146	monrm058300	9	481	-9.1	348	300													
1147	monrm058300	9	482	-9.3	344	300													
1148	monrm058300	9	481	-9.6	340	300													
1149	monrm058300	9	472	-14.84	446	300													
1150	monrm058300	9	473	-14.84	447	300													
1151	monrm058300	9	470	-14.84	446	300													
1152	monrm058500	9	482.65	-6.2	387.98	300													
1153	monrm058500	9	483.65	-6.2	386.98	300													
1154	monrm058500	9	481.65	-6.2	385.98	300													
1155	monrm058800	9	193.56	-16.67	520.65	300													
1156	monrm058800	9	194.57	-16.68	520.66	300													
1157	monrm058800	9	193.58	-16.69	521.67	300													
1158	monrm058800	9	194.59	-16.70	521.68	300													
1159	monrm058700	9	193.56	-16.67	520.65	300													
1160	monrm058500	9	193.78	-16.69	520.67	300													
1161	monrm058500	9	194.29	-16.70	521.68	300													
1162	monrm058500	9	193.60	-16.67	521.69	300													
1163	monrm058300	9	467.68	-12.76	365.17	300													
1164	monrm058300	9	466.69	-12.77	365.18	300													
1165	monrm058300	9	467.70	-12.78	362.19	300													
1166	monrm058300	9	465.71	-12.79	364.20	300													
1167	monrm058300	9	466.72	-12.80	364.21	300													
1168	monrm058900	9	466.68	-12.76	361.17	300													
1169	monrm058300	9	202	-14	586	300													
1170	monrm058300	9	201	-14	584	300													
1171	monrm058300	9	201	-14	583	300													
1172	monrm058300	9	200	-14	583	300													
1173	monrm058300	9	200	-14	584	300													
1174	monrm059000	9	192.05	-14.38	619.62	300													
1175	monrm059100	9	142.37	-5.88	620.88	300													
1176	monrm059200	9	407.97	-16.96	391.75	300													
1177	monrm059200	9	408.97	-16.96	391.75	300													
1178	monrm059200	9	408.97	-16.96	392.75	300													
1179	monrm059200	9	407.97	-16.96	392.75	300													
1180	monrm059300	9	4	21.24	753.32	300													
1181	monrm059400	9	49.96	21.24	740.28	300													
1182	monrm059500	9	-24.23	37.44	838.62	300													
1183	monrm059600	9	-28.77	37.44	835.31	300													
1184	monrm059700	9	344.33	-16.81	360.89	300													
1185	monrm059700	9	345.33	-16.81	361.89	300													
1186	monrm059700	9	345.33	-16.81	362.89	300													
1187	monrm059700	9	346.33	-16.81	367.89	300													
1188	monrm059700	9	-33.88	26.09	741.88	300													
1189	monrm059700	9	-35.85	26.09	740.4	300													
1190	monrm059800	9	-32.55	26.09	734.85	300													
1191	monrm059800	9	-29.98	26.09	736.51	300													
1192	monrm059900	9	133.25	-12.29	769.28	300													
1193	monrm060000	9	134.26	-12.29	769.29	300													
1194	monrm060000	9	133.27	-12.29	768.30	300													
1195	monrm060000	9	135.28	-12.29	770.31	300													
1196	monrm060000	9	135.29	-12.29	770.32	300													
