STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
8001	monrm010200	5	5.6	4.6	434	300													
8002	monrm010200	5	12	3.9	430	300													
8003	monrm010200	5	16.4	4.9	433.7	300													
8004	monrm010300	5	232.82	66.91	-69.02	300													
8005	monrm010400	5	148.25	2.73	142.62	300													
8006	monrm010500	5	28	-2	116	300													
8007	monrm010500	5	43	-2	118	300													
8008	monrm010500	5	32	-2	122	300													
8009	monrm010700	5	357	64.3	83.3	300													
8010	monrm010800	5	356	64.3	85.7	300													
8011	monrm010800	5	345.8	64.3	84.3	300													
8012	monrm010800	5	346	28.5	263	300													
8013	monrm010900	5	590.62	37.78	201.21	300													
8014	monrm010900	5	593.04	36.58	199.83	300													
8015	monrm010900	5	592.01	36.62	197.62	300													
8016	monrm011000	5	647.68	52.44	263.07	300													
8017	monrm011000	5	648.21	52.29	260.5	300													
8018	monrm011000	5	646.74	53.06	256.68	300													
8019	monrm011000	5	668.22	56.69	387.99	300													
8020	monrm011000	5	667.01	55.94	392.19	300													
8021	monrm011000	5	661.93	55.27	393.52	300													
8022	monrm011000	5	549.47	41.22	380.51	300													
8023	monrm011000	5	547.95	40.17	374.81	300													
8024	monrm011000	5	540.68	40.12	373.22	300													
8025	monrm011000	5	662.36	51.45	271.2	300													
8026	monrm011000	5	665.39	51.54	269.36	300													
8027	monrm011000	5	662.19	51.39	274.82	300													
