STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING														
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID														
4001	WorldNpc00002	story_24003_1	storymenu_24003_1	9607	0	storyinfo_24003	1															
4001	WorldNpc00002	story_24003_2	storymenu_24003_2	9607	0	storyinfo_24003	1															
4002	FuncNpc00003	story_24007_1	storymenu_24007_1	9607	0	storyinfo_24007	1															
4002	FuncNpc00003	story_24007_2	storymenu_24007_2	9607	0	storyinfo_24007	1															
4003	WorldNpc00004	story_24009_1	storymenu_24009_1	9607	0	storyinfo_24009	1															
4003	WorldNpc00004	story_24009_2	storymenu_24009_2	9607	0	storyinfo_24009	1															
4004	WorldNpc00047	story_24023_1	storymenu_24023_1	9607	0	storyinfo_24022	1															
4004	WorldNpc00047	story_24023_2	storymenu_24023_2	9607	0	storyinfo_24022	1															
4005	FuncNpc00004	story_24026_1	storymenu_24026_1	9607	0	storyinfo_24026	1															
4005	FuncNpc00004	story_24026_2	storymenu_24026_2	9607	0	storyinfo_24026	1															
4006	WorldNpc00017	story_24035_1	storymenu_24035_1	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_2	storymenu_24035_2	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_3	storymenu_24035_3	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_4	storymenu_24035_4	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_5	storymenu_24035_5	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_6	storymenu_24035_6	9607	0	storyinfo_24034	1															
4006	WorldNpc00017	story_24035_7	storymenu_24035_7	9607	0	storyinfo_24034	1															
4007	FuncNpc00003	story_24039_1	storymenu_24039_1	9607	0	storyinfo_24039	1															
4007	FuncNpc00003	story_24039_2	storymenu_24039_2	9607	0	storyinfo_24039	1															
4008	WorldNpc00012	story_24049_1	storymenu_24049_1	9607	0	storyinfo_24049	1															
4008	WorldNpc00012	story_24049_2	storymenu_24049_2	9607	0	storyinfo_24049	1															
4008	WorldNpc00012	story_24049_3	storymenu_24049_3	9607	0	storyinfo_24049	1															
4008	WorldNpc00012	story_24049_4	storymenu_24049_4	9607	0	storyinfo_24049	1															
4009	FuncNpc00003	story_24053_1	storymenu_24053_1	9607	0	storyinfo_24053	1															
4009	FuncNpc00003	story_24053_2	storymenu_24053_2	9607	0	storyinfo_24053	1															
4009	FuncNpc00003	story_24053_3	storymenu_24053_3	9607	0	storyinfo_24053	1															
4009	FuncNpc00003	story_24053_4	storymenu_24053_4	9607	0	storyinfo_24053	1															
4010	WorldNpc02605	story_24083_1	storymenu_24083_1	9607	0	storyinfo_24082	10															
4010	WorldNpc02605	story_24083_2	storymenu_24083_2	9607	0	storyinfo_24082	10															
4011	WorldNpc02611	story_24093_1	storymenu_24093_1	9607	0	storyinfo_24092	10															
4011	WorldNpc02611	story_24093_2	storymenu_24093_2	9607	0	storyinfo_24092	10															
4011	WorldNpc02611	story_24093_3	storymenu_24093_3	9607	0	storyinfo_24092	10															
4012	WorldNpc06103	story_24149_1	storymenu_24149_1	9607	0	storyinfo_24149	22															
4012	WorldNpc06103	story_24149_2	storymenu_24149_2	9607	0	storyinfo_24149	22															
4012	WorldNpc06103	story_24149_3	storymenu_24149_3	9607	0	storyinfo_24149	22															
4013	WorldNpc06104	story_24152_1	storymenu_24152_1	9607	0	storyinfo_24152	22															
4013	WorldNpc06104	story_24152_2	storymenu_24152_2	9607	0	storyinfo_24152	22															
4013	WorldNpc06104	story_24152_3	storymenu_24152_3	9607	0	storyinfo_24152	22															
4014	WorldNpc06106	story_24154_1	storymenu_24154_1	9607	0	storyinfo_24154	22															
4014	WorldNpc06106	story_24154_2	storymenu_24154_2	9607	0	storyinfo_24154	22															
4014	WorldNpc06106	story_24154_3	storymenu_24154_3	9607	0	storyinfo_24154	22															
4015	WorldNpc06112	story_24165_1	storymenu_24165_1	9607	0	storyinfo_24165	22															
4015	WorldNpc06112	story_24165_2	storymenu_24165_2	9607	0	storyinfo_24165	22															
4015	WorldNpc06112	story_24165_3	storymenu_24165_3	9607	0	storyinfo_24165	22															
4015	WorldNpc06112	story_24165_4	storymenu_24165_4	9607	0	storyinfo_24165	22															
4016	WorldNpc06116	story_24172_1	storymenu_24172_1	9607	0	storyinfo_24172	22															
4016	WorldNpc06116	story_24172_2	storymenu_24172_2	9607	0	storyinfo_24172	22															
4016	WorldNpc06116	story_24172_3	storymenu_24172_3	9607	0	storyinfo_24172	22															
4016	WorldNpc06116	story_24172_4	storymenu_24172_4	9607	0	storyinfo_24172	22															
4017	WorldNpc09601	story_24193_1	storymenu_24193_1	9607	0	storyinfo_24193	17															
4017	WorldNpc09601	story_24193_2	storymenu_24193_2	9607	0	storyinfo_24193	17															
4017	WorldNpc09601	story_24193_3	storymenu_24193_3	9607	0	storyinfo_24193	17															
4017	WorldNpc09601	story_24193_4	storymenu_24193_4	9607	0	storyinfo_24193	17															
4017	WorldNpc09601	story_24193_5	storymenu_24193_5	9607	0	storyinfo_24193	17															
4018	WorldNpc09602	story_24196_1	storymenu_24196_1	9607	0	storyinfo_24196	17															
4018	WorldNpc09602	story_24196_2	storymenu_24196_2	9607	0	storyinfo_24196	17															
4018	WorldNpc09602	story_24196_3	storymenu_24196_3	9607	0	storyinfo_24196	17															
4019	WorldNpc09612	story_24204_1	storymenu_24204_1	9607	0	storyinfo_24204	17															
4019	WorldNpc09612	story_24204_2	storymenu_24204_2	9607	0	storyinfo_24204	17															
4020	WorldNpc09805	story_24217_1	storymenu_24217_1	9607	0	storyinfo_24217	17															
4020	WorldNpc09805	story_24217_2	storymenu_24217_2	9607	0	storyinfo_24217	17															
4020	WorldNpc09805	story_24217_3	storymenu_24217_3	9607	0	storyinfo_24217	17															
4021	WorldNpc09605	story_24225_1	storymenu_24225_1	9607	0	storyinfo_24225	17															
4021	WorldNpc09605	story_24225_2	storymenu_24225_2	9607	0	storyinfo_24225	17															
