STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
2002	interact	27053	
2003	collect	27001	
2009	convoy	27002	
2010	hunter	27001	
2016	hunter	27002	
2017	interact	27054	
2018	collect	27002	
2018	collect	27003	
2018	collect	27004	
2018	collect	27005	
2025	collect	27035	
2029	story	27001	
2034	collect	27033	
2034	collect	27034	
2035	collect	27029	
2035	collect	27030	
2035	collect	27031	
2035	collect	27032	
2038	collect	27028	
2041	hunter	27047	
2044	story	9035	
2045	collect	27011	
2051	story	27007	
2052	interact	27044	1
2052	hunter	27031	2
2053	interact	27004	1
2053	collect	27042	2
2054	useitem	27007	1
2054	story	27009	2
2055	collect	27018	
2056	collect	27019	
2056	collect	27018	
2057	special	-1	
2058	special	-1	
2059	story	27008	
2060	interact	27006	
2061	interact	27007	1
2061	interact	27008	
2061	useitem	27001	2
2061	interact	27005	3
2062	special	-1	
2063	story	27002	
2064	special	-1	
2066	special	-1	
2067	story	27003	
2068	useitem	27003	
2069	interact	27060	1
2069	hunter	27058	2
2069	interact	27047	3
2069	question	27002	4
2070	interact	27062	1
2070	collect	27044	2
2071	special	-1	
2072	story	27004	
2073	collect	27040	
2073	interact	27045	
2075	story	27005	
2076	interact	27048	
2076	interact	27056	
2076	interact	27057	
2077	special	-1	
2079	interact	27009	
2080	interact	27010	
2081	interact	27034	2
2081	interact	27035	1
2081	special	-1	3
2083	interact	27023	2
2083	interact	27025	1
2083	interact	27026	3
2083	question	27005	4
2084	hunter	27013	
2086	special	-1	
2087	hunter	27014	
2087	hunter	27015	
2089	interact	27011	
2090	hunter	27038	
2093	special	-1	1
2093	hunter	27057	2
2095	interact	27012	
2096	interact	27036	1
2096	special	-1	2
2097	interact	27043	
2098	hunter	27040	
2099	hunter	27041	
2101	interact	27063	1
2102	hunter	27060	1
2102	interact	27064	2
2102	interact	27065	3
2102	interact	27066	4
2103	story	27012	1
2103	question	27008	2
2104	interact	27067	
2105	hunter	27062	1
2106	hunter	27061	1
2106	interact	27068	2
2106	interact	27069	3
2107	special	-1	
2108	convoy	27004	1
2231	hunter	27036	
2234	special	-1	1
2234	interact	27022	2
2234	interact	27030	3
2236	hunter	27003	
2237	special	-1	
2238	interact	27013	
2239	interact	27014	
2331	special	-1	
2332	hunter	27034	1
2332	useitem	27005	2
2401	story	27011	
2402	question	27004	
2403	collect	27036	
2404	collect	27037	
2405	collect	27038	
2406	special	-1	
2407	hunter	27055	
2408	hunter	27050	
2410	hunter	27051	
2411	collect	27039	
2412	hunter	27049	
2413	interact	27059	
2414	hunter	27052	
2417	hunter	27053	
2418	hunter	27054	
2419	convoy	27003	
2420	interact	27058	
2431	interact	27037	2
2431	interact	27038	1
2431	special	-1	3
2432	interact	27027	1
2432	interact	27028	1
2432	interact	27029	1
2432	question	27006	2
2433	interact	27015	
2434	interact	27016	1
2434	collect	27043	2
2435	special	-1	
2438	hunter	27056	
2438	collect	27041	
2440	interact	27017	
2442	interact	27018	
2444	question	27003	
2445	interact	27039	2
2445	interact	27040	1
2445	special	-1	3
2446	interact	27019	1
2446	interact	27020	1
2446	question	27007	2
2447	useitem	27006	
2448	hunter	27028	
2801	interact	27049	
2803	interact	27050	
2804	hunter	27016	
2804	hunter	27017	
2805	interact	27051	1
2805	interact	27052	2
2806	hunter	27018	
2807	special	-1	
2808	question	27001	
2809	interact	27001	
2810	hunter	27004	
2811	hunter	27005	
2811	hunter	27006	
2811	hunter	27007	
2812	hunter	27008	
2813	hunter	27009	
2814	hunter	27010	
2815	collect	27012	
2816	collect	27013	
2817	interact	27002	
2818	hunter	27048	1
2818	interact	27003	2
2819	story	27006	
2820	hunter	27011	
2821	useitem	27004	
2822	convoy	27001	
2832	hunter	27019	
2832	hunter	27020	
2833	hunter	27042	1
2833	hunter	27021	2
2835	hunter	27033	
2836	collect	27023	
2836	collect	27024	
2837	hunter	27032	1
2837	useitem	27002	2
2838	interact	27046	
2838	special	-1	
2839	interact	27021	1
2839	collect	27014	2
2839	collect	27015	2
2839	collect	27016	2
2840	interact	27041	2
2840	interact	27042	1
2840	special	-1	3
2841	interact	27031	
2841	interact	27032	
2841	interact	27033	
2842	collect	27027	
2843	hunter	27044	
2846	hunter	27045	
2846	hunter	27046	
2848	special	-1	
