STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
24002	interact	4001	0
24003	story	4001	1
24005	interact	4087	1
24005	collect	4073	2
24005	interact	4088	3
24007	story	4002	1
24009	story	4003	1
24010	interact	4089	1
24010	interact	4090	2
24010	interact	4091	3
24013	interact	4084	2
24013	interact	4005	2
24013	interact	4006	2
24013	hunter	4001	1
24015	interact	4092	1
24015	interact	4093	2
24015	question	4001	3
24016	interact	4094	1
24016	hunter	4002	2
24018	interact	4103	2
24018	useitem	4067	3
24018	collect	4001	1
24019	convoy	4001	1
24019	hunter	4003	2
24019	interact	4095	3
24020	hunter	4003	1
24021	interact	4007	1
24021	interact	4008	1
24021	interact	4009	1
24021	hunter	4159	2
24022	story	4004	1
24024	interact	4096	1
24026	hunter	4004	3
24026	interact	4082	2
24026	interact	4083	4
24026	story	4005	1
24029	collect	4002	0
24029	collect	4003	0
24029	collect	4004	0
24031	useitem	4001	1
24031	interact	4097	2
24031	interact	4098	3
24031	useitem	4002	4
24034	interact	4012	1
24034	useitem	4068	2
24034	story	4006	3
24036	hunter	4005	1
24037	interact	4013	1
24039	story	4007	1
24040	hunter	4006	1
24041	interact	4099	1
24041	interact	4100	2
24041	interact	4101	3
24041	hunter	4007	4
24043	hunter	4007	1
24044	convoy	4002	1
24044	hunter	4008	2
24045	hunter	4008	1
24046	interact	4102	1
24046	useitem	4003	2
24047	useitem	4003	1
24049	interact	4104	1
24049	interact	4105	2
24049	hunter	4009	3
24049	story	4008	4
24053	useitem	4004	1
24053	interact	4106	2
24053	interact	4107	3
24053	story	4009	4
24055	story	4009	
24058	collect	4006	0
24058	collect	4007	0
24059	useitem	4005	1
24059	interact	4108	2
24059	interact	4014	3
24061	interact	4109	1
24061	story	4080	2
24063	interact	4122	1
24063	hunter	4010	2
24063	interact	4110	3
24065	hunter	4011	1
24065	interact	4111	2
24065	useitem	4006	3
24067	useitem	4062	1
24067	useitem	4063	2
24067	useitem	4061	3
24068	interact	4112	1
24068	interact	4113	2
24068	hunter	4012	3
24068	hunter	4013	3
24070	interact	4114	1
24070	convoy	4003	2
24072	hunter	4014	1
24072	interact	4115	2
24072	collect	4008	3
24074	interact	4116	1
24074	interact	4117	2
24075	hunter	4015	1
24076	hunter	4016	1
24077	interact	4118	1
24079	hunter	4017	1
24080	interact	4015	0
24080	interact	4016	0
24080	interact	4017	0
24080	interact	4018	0
24081	convoy	4004	1
24082	interact	4119	1
24082	story	4010	2
24085	interact	4120	1
24085	hunter	4018	2
24087	convoy	4005	1
24088	hunter	4019	1
24089	useitem	4007	1
24089	interact	4121	2
24089	collect	4010	3
24092	story	4011	1
24094	hunter	4020	1
24097	interact	4123	1
24097	interact	4254	2
24097	collect	4011	3
24098	convoy	4006	1
24099	interact	4124	1
24099	hunter	4021	2
24099	interact	4125	3
24100	story	4081	1
24102	hunter	4022	1
24103	interact	4126	1
24104	useitem	4008	1
24104	useitem	4009	1
24104	useitem	4010	1
24104	interact	4080	2
24105	hunter	4023	1
24105	hunter	4024	2
24105	collect	4012	3
24106	convoy	4007	1
24106	interact	4127	2
24107	collect	4013	4
24107	interact	4078	1
24107	interact	4079	2
24107	useitem	4011	3
24108	interact	4128	1
24109	useitem	4012	0
24109	useitem	4013	0
24109	useitem	4014	0
24110	interact	4129	1
24110	interact	4130	2
24111	interact	4131	1
24112	hunter	4025	1
24113	interact	4132	1
24113	interact	4133	2
24115	hunter	4026	1
24116	interact	4134	1
24116	hunter	4027	2
24116	interact	4135	3
24119	hunter	4028	1
24119	hunter	4029	2
24120	interact	4136	1
24121	hunter	4030	1
24122	hunter	4031	1
24122	interact	4137	2
24123	interact	4139	1
24123	interact	4140	2
24125	convoy	4008	1
24126	interact	4141	1
24126	interact	4201	2
24126	interact	4202	3
24126	interact	4195	4
24129	collect	4016	1
24130	useitem	4015	1
24130	useitem	4016	2
24132	hunter	4032	1
24132	hunter	4033	1
24132	interact	4143	2
24132	story	4083	3
24134	collect	4017	1
24135	interact	4144	1
24135	convoy	4009	2
24136	hunter	4034	1
24136	story	4084	2
24136	hunter	4035	3
24139	story	4085	1
24141	interact	4019	1
24141	story	4086	2
24141	hunter	4036	3
24144	interact	4145	1
24145	story	4087	1
24147	hunter	4038	1
24147	collect	4018	2
24148	convoy	4010	1
24149	story	4012	1
24149	hunter	4039	2
24149	interact	4146	3
24152	story	4013	1
24154	hunter	4040	1
24154	story	4014	2
24157	interact	4147	1
24157	useitem	4066	2
24159	hunter	4041	1
24159	story	4088	2
24159	convoy	4011	3
24162	hunter	4042	1
24162	interact	4148	2
24162	interact	4149	3
24162	hunter	4160	4
24163	useitem	4064	1
24165	interact	4151	1
24165	story	4015	2
24165	convoy	4012	3
24168	story	4089	1
24170	convoy	4013	1
24170	interact	4152	2
24170	hunter	4043	3
24172	story	4016	1
24172	convoy	4014	2
24175	collect	4019	1
24176	interact	4153	1
24176	story	4090	2
24176	hunter	4044	3
24178	hunter	4045	1
24178	interact	4154	2
24178	useitem	4065	3
24181	interact	4155	1
24181	collect	4022	2
24183	interact	4156	1
24183	hunter	4046	2
24185	story	4091	1
24188	interact	4157	1
24188	collect	4023	2
24190	interact	4158	1
24190	hunter	4048	2
24191	story	4092	1
24193	story	4017	1
24196	story	4018	1
24196	convoy	4015	2
24198	interact	4159	1
24198	interact	4160	2
24199	interact	4161	1
24200	hunter	4049	1
24200	story	4093	2
24201	interact	4162	1
24205	interact	4163	1
24205	convoy	4016	2
24207	interact	4164	1
24209	interact	4165	1
24209	hunter	4052	2
24210	hunter	4053	1
24210	interact	4166	2
24213	interact	4167	1
24213	interact	4168	2
24214	hunter	4055	1
24214	hunter	4056	1
24214	hunter	4057	1
24215	story	4094	1
24217	story	4020	1
24217	convoy	4017	2
24220	interact	4169	1
24220	hunter	4058	2
24220	interact	4170	3
24221	interact	4171	1
24221	interact	4172	2
24224	interact	4173	1
24226	hunter	4063	1
24227	interact	4174	1
24227	interact	4175	2
24231	interact	4176	1
24231	hunter	4064	2
24232	interact	4177	1
24232	useitem	4018	2
24234	interact	4022	1
24236	interact	4023	1
24236	interact	4178	2
24238	hunter	4065	1
24238	interact	4179	2
24238	convoy	4018	3
24240	story	4095	1
24242	interact	4180	1
24244	useitem	4019	1
24245	interact	4181	1
24245	hunter	4066	2
24247	interact	4182	1
24247	hunter	4161	2
24247	interact	4203	3
24247	useitem	4069	4
24249	story	4024	1
24249	story	4096	2
24249	hunter	4067	3
24251	interact	4183	1
24251	story	4097	2
24253	story	4098	1
24256	hunter	4068	1
24256	interact	4184	2
24256	interact	4185	3
24256	collect	4027	4
24259	convoy	4019	1
24260	interact	4186	1
24260	useitem	4020	2
24260	story	4099	3
24262	collect	4028	1
24263	useitem	4021	1
24263	story	4025	2
24266	interact	4187	1
24266	hunter	4069	2
24266	interact	4188	3
24268	interact	4189	1
24268	collect	4030	2
24270	story	4027	1
24272	interact	4190	1
24272	hunter	4070	2
24272	interact	4191	3
24275	interact	4192	1
24277	interact	4193	1
24279	hunter	4071	1
24280	interact	4194	1
24281	hunter	4072	1
24283	story	4028	1
24287	convoy	4020	1
24287	story	4100	2
24289	story	4101	1
24289	hunter	4074	2
24291	useitem	4022	1
24292	collect	4031	1
24294	story	4029	
24296	story	4030	1
24296	interact	4197	2
24296	hunter	4162	3
24298	interact	4026	1
24299	interact	4198	1
24299	hunter	4076	2
24301	hunter	4077	1
24301	hunter	4078	1
24302	story	4031	1
24304	hunter	4079	1
24305	interact	4199	1
24305	collect	4032	2
24308	interact	4200	1
24309	story	4102	1
24309	hunter	4080	2
24309	collect	4033	3
24311	interact	4204	1
24311	story	4103	2
24314	question	4006	1
24315	convoy	4023	1
24316	story	4033	1
24317	interact	4205	1
24317	hunter	4163	2
24317	collect	4034	3
24318	hunter	4081	1
24318	interact	4206	2
24318	hunter	4166	3
24320	collect	4035	1
24321	hunter	4082	1
24325	convoy	4024	1
24326	hunter	4083	1
24328	hunter	4084	1
24330	useitem	4024	1
24332	interact	4208	1
24332	hunter	4164	2
24334	story	4112	1
24334	hunter	4087	2
24335	convoy	4025	3
24338	story	4104	1
24338	hunter	4088	2
24340	interact	4209	1
24341	story	4034	
24342	interact	4031	1
24342	interact	4032	2
24342	interact	4033	3
24344	interact	4210	1
24344	hunter	4089	2
24346	interact	4211	1
