STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
50001	interact	9126	1
50002	interact	9001	1
50002	interact	9002	2
50002	interact	9003	3
50003	interact	9109	3
50003	useitem	9001	1
50003	useitem	9002	2
50004	hunter	9001	1
50004	interact	9127	2
50005	hunter	9002	4
50005	interact	9110	1
50005	useitem	9003	2
50005	interact	9112	3
50008	convoy	9001	1
50009	interact	9004	1
50010	story	9001	1
50011	collect	9003	2
50011	interact	9111	1
50012	interact	9005	1
50013	hunter	9003	2
50013	interact	9113	1
50015	convoy	9002	1
50015	interact	9114	2
50015	story	9002	3
50017	hunter	9004	3
50017	hunter	9005	3
50017	interact	9006	1
50017	interact	9115	2
50019	collect	9004	1
50020	hunter	9006	2
50020	hunter	9007	2
50020	interact	9116	1
50022	collect	9005	2
50022	interact	9117	1
50025	hunter	9008	2
50025	interact	9118	1
50027	hunter	9009	2
50027	hunter	9010	2
50027	interact	9119	1
50027	interact	9120	3
50030	hunter	9011	4
50030	convoy	9003	2
50030	interact	9121	3
50030	story	9003	1
50033	collect	9006	1
50033	interact	9122	2
50033	useitem	9005	3
50035	story	9004	1
50038	useitem	9004	1
50038	interact	9128	2
50039	collect	9007	3
50039	interact	9007	1
50039	interact	9008	2
50042	hunter	9012	2
50042	interact	9123	1
50042	interact	9124	3
50045	collect	9008	1
50045	interact	9125	2
50045	useitem	9006	3
50047	convoy	9004	1
50049	interact	9009	2
50049	interact	9129	1
50050	collect	9009	1
50051	hunter	9013	2
50051	interact	9130	1
50053	interact	9010	1
50053	interact	9131	2
50053	question	9001	3
50055	interact	9132	1
50057	hunter	9119	2
50057	interact	9329	3
50057	story	9005	1
50059	collect	9011	1
50059	interact	9133	2
50061	hunter	9014	3
50061	interact	9011	1
50061	interact	9134	2
50063	interact	9146	1
50063	interact	9135	2
50063	interact	9136	4
50063	useitem	9007	3
50066	hunter	9015	3
50066	interact	9012	1
50066	interact	9137	2
50069	convoy	9005	1
50069	interact	9138	2
50069	interact	9139	3
50069	story	9006	4
50072	interact	9013	1
50073	hunter	9016	2
50073	interact	9140	1
50075	story	9007	1
50077	hunter	9017	3
50077	interact	9014	1
50077	interact	9141	2
50079	convoy	9006	1
50080	useitem	9008	1
50081	interact	9015	1
50081	interact	9016	2
50082	hunter	9018	2
50082	interact	9142	1
50082	story	9008	3
50086	story	9009	1
50088	convoy	9007	1
50089	collect	9016	1
50089	interact	9143	2
50091	hunter	9019	3
50091	interact	9144	2
50091	story	9010	1
50093	useitem	9009	1
50094	hunter	9020	1
50094	interact	9145	2
50097	interact	9147	1
50097	interact	9148	2
50099	convoy	9008	1
50101	hunter	9021	3
50101	collect	9017	1
50101	interact	9149	2
50103	hunter	9022	2
50103	interact	9150	1
50103	interact	9151	3
50103	story	9011	4
50106	hunter	9023	2
50106	interact	9152	1
50109	hunter	9024	1
50110	hunter	9025	1
50111	hunter	9120	1
50111	interact	9330	2
50111	interact	9331	3
50112	interact	9153	1
50112	interact	9154	2
50112	story	9012	3
50115	hunter	9026	2
50115	interact	9155	1
50117	interact	9017	1
50118	hunter	9121	2
50118	interact	9332	3
50118	interact	9156	1
50121	hunter	9027	3
