STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
2001	回壹    寻人(副本)	【1/3】		6	FuncNpc00106	WorldNpc01060	14	14				2002	740								title_2001	context_2001		complete_2001	uncom_2001	target_2001	task_TrackInfo_2001	next_2001	CanAcceptMenu_2001	UncompleteMenu_2001	CompleteMenu_2001					1	0	0				
2002	回貳    寻人(副本)	【2/3】		6	WorldNpc01060	WorldNpc01060	14	14			2001	2003	740								title_2002	context_2002		complete_2002	uncom_2002	target_2002	task_TrackInfo_2002	next_2002	CanAcceptMenu_2002	UncompleteMenu_2002	CompleteMenu_2002					1	0	0				
2003	回叁    寻人(副本)	【3/3】		6	WorldNpc01060	WorldNpc01060	14	14			2002		740								title_2003	context_2003		complete_2003	uncom_2003	target_2003	task_TrackInfo_2003	next_2003	CanAcceptMenu_2003	UncompleteMenu_2003	CompleteMenu_2003					1	0	0				
2004	回壹    清理门户任务(副本)	【1/7】		6	funnpcclone001014	WorldNpc00212	12	12				2005	740								title_2004	context_2004		complete_2004	uncom_2004	target_2004	task_TrackInfo_2004	next_2004	CanAcceptMenu_2004	UncompleteMenu_2004	CompleteMenu_2004					1	0	0				
2005	回貳    清理门户任务(副本)	【2/7】		6	WorldNpc00212	WorldNpc00255	12	12			2004	2006	740								title_2005	context_2005		complete_2005	uncom_2005	target_2005	task_TrackInfo_2005	next_2005	CanAcceptMenu_2005	UncompleteMenu_2005	CompleteMenu_2005					1	0	0				
2006	回叁    清理门户任务(副本)	【3/7】		6	WorldNpc00255	WorldNpc00223	12	12			2005	2007	740								title_2006	context_2006		complete_2006	uncom_2006	target_2006	task_TrackInfo_2006	next_2006	CanAcceptMenu_2006	UncompleteMenu_2006	CompleteMenu_2006					1	0	0				
2007	回肆    清理门户任务(副本)	【4/7】		6	WorldNpc00223	WorldNpc00212	12	12			2006	2008	740								title_2007	context_2007		complete_2007	uncom_2007	target_2007	task_TrackInfo_2007	next_2007	CanAcceptMenu_2007	UncompleteMenu_2007	CompleteMenu_2007					1	0	0				
2008	回伍    清理门户任务(副本)	【5/7】		6	WorldNpc00212	funnpcclone001014	12	12			2007	2009	740								title_2008	context_2008		complete_2008	uncom_2008	target_2008	task_TrackInfo_2008	next_2008	CanAcceptMenu_2008	UncompleteMenu_2008	CompleteMenu_2008					1	0	0				
2009	回陆    清理门户任务(副本)	【6/7】		6	funnpcclone001014	WorldNpc00212	12	12			2008	2010	740								title_2009	context_2009		complete_2009	uncom_2009	target_2009	task_TrackInfo_2009	next_2009	CanAcceptMenu_2009	UncompleteMenu_2009	CompleteMenu_2009					1	0	0				
2010	回柒    清理门户任务(副本)	【7/7】		6	WorldNpc00212	WorldNpc00212	12	12			2009		740								title_2010	context_2010		complete_2010	uncom_2010	target_2010	task_TrackInfo_2010	next_2010	CanAcceptMenu_2010	UncompleteMenu_2010	CompleteMenu_2010					1	0	0				
2011	回壹    替父报仇(副本)	【1/6】		6	funnpcclone001007	funnpcclone001008	14	14				2012	740								title_2011	context_2011		complete_2011	uncom_2011	target_2011	task_TrackInfo_2011	next_2011	CanAcceptMenu_2011	UncompleteMenu_2011	CompleteMenu_2011					1	0	0				
2012	回贰    替父报仇(副本)	【2/6】		6	funnpcclone001008	funnpcclone001009	14	14			2011	2013	740								title_2012	context_2012		complete_2012	uncom_2012	target_2012	task_TrackInfo_2012	next_2012	CanAcceptMenu_2012	UncompleteMenu_2012	CompleteMenu_2012					1	0	0				
2013	回叁    替父报仇(副本)	【3/6】		6	funnpcclone001009	funnpcclone001008	14	14			2012	2014	740								title_2013	context_2013		complete_2013	uncom_2013	target_2013	task_TrackInfo_2013	next_2013	CanAcceptMenu_2013	UncompleteMenu_2013	CompleteMenu_2013					1	0	0				
2014	回肆    替父报仇(副本)	【4/6】		6	funnpcclone001008	funnpcclone001010	14	14			2013	2015	740			40001					title_2014	context_2014		complete_2014	uncom_2014	target_2014	task_TrackInfo_2014	next_2014	CanAcceptMenu_2014	UncompleteMenu_2014	CompleteMenu_2014					1	0	0				
2015	回伍    替父报仇(副本)	【5/6】		6	funnpcclone001010	funnpcclone001009	14	14			2014	2016	740								title_2015	context_2015		complete_2015	uncom_2015	target_2015	task_TrackInfo_2015	next_2015	CanAcceptMenu_2015	UncompleteMenu_2015	CompleteMenu_2015					1	0	0				
2016	回陆    替父报仇(副本)	【6/6】		6	funnpcclone001009	funnpcclone001009	14	14			2015		740								title_2016	context_2016		complete_2016	uncom_2016	target_2016	task_TrackInfo_2016	next_2016	CanAcceptMenu_2016	UncompleteMenu_2016	CompleteMenu_2016					1	0	0				
2017	回壹    百晓生的书(副本)	【1/2】		6	funnpcclone001010	funnpcclone001010	3	3				2018	740								title_2017	context_2017		complete_2017	uncom_2017	target_2017	task_TrackInfo_2017	next_2017	CanAcceptMenu_2017	UncompleteMenu_2017	CompleteMenu_2017					1	0	0				
2018	回贰    百晓生的书(副本)	【2/2】		6	funnpcclone001010	funnpcclone001010	3	3			2017		740								title_2018	context_2018		complete_2018	uncom_2018	target_2018	task_TrackInfo_2018	next_2018	CanAcceptMenu_2018	UncompleteMenu_2018	CompleteMenu_2018					1	0	0				
2020	回壹    母亲遗志(副本)	【1/8】		6	WorldNpc00501	funnpcclone001016	14	14				2021	740			40004					title_2020	context_2020		complete_2020	uncom_2020	target_2020	task_TrackInfo_2020	next_2020	CanAcceptMenu_2020	UncompleteMenu_2020	CompleteMenu_2020					1	0	0				
2021	回贰    母亲遗志(副本)	【2/8】		6	funnpcclone001016	WorldNpc00501	14	14			2020	2022	740								title_2021	context_2021		complete_2021	uncom_2021	target_2021	task_TrackInfo_2021	next_2021	CanAcceptMenu_2021	UncompleteMenu_2021	CompleteMenu_2021					1	0	0				
2022	回叁    母亲遗志(副本)	【3/8】		6	WorldNpc00501	funnpcclone001016	14	14			2021	2023	740								title_2022	context_2022		complete_2022	uncom_2022	target_2022	task_TrackInfo_2022	next_2022	CanAcceptMenu_2022	UncompleteMenu_2022	CompleteMenu_2022					1	0	0				
2023	回肆    母亲遗志(副本)	【4/8】		6	funnpcclone001016	WorldNpc00501	14	14			2022	2024	740								title_2023	context_2023		complete_2023	uncom_2023	target_2023	task_TrackInfo_2023	next_2023	CanAcceptMenu_2023	UncompleteMenu_2023	CompleteMenu_2023					1	0	0				
2024	回伍    母亲遗志(副本)	【5/8】		6	WorldNpc00501	funnpcclone001016	14	14			2023	2025	740								title_2024	context_2024		complete_2024	uncom_2024	target_2024	task_TrackInfo_2024	next_2024	CanAcceptMenu_2024	UncompleteMenu_2024	CompleteMenu_2024					1	0	0				
