STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
22001	恍若隔世		s030101	1		WorldNpc00501	3	3				22002									title_22001	context_22001	context_22001,menu_22001	complete_22001	uncom_22001	target_22001	task_TrackInfo_22001		CanAcceptMenu_22001	UncompleteMenu_22001	CompleteMenu_22001					1	0	0	0	0	1	
22002	恍若隔世		s030101	1	WorldNpc00501	WorldNpc00501	3	3			22001	22003									title_22002	context_22002	context_22002,menu_22002	complete_22002	uncom_22002	target_22002	task_TrackInfo_22002		CanAcceptMenu_22002	UncompleteMenu_22002	CompleteMenu_22002					1	0	0	0	0	1	
22003	恍若隔世		s030101	1	WorldNpc00501	FuncNpc00058	3	3			22002	22005									title_22003	context_22003	context_22003,menu_22003	complete_22003	uncom_22003	target_22003	task_TrackInfo_22003		CanAcceptMenu_22003	UncompleteMenu_22003	CompleteMenu_22003					1	0	0	0	0	1	
22005	恍若隔世		s030101	1	FuncNpc00058	FuncNpc00058	3	3			22003	22006								task\task_fight_guid.lua	title_22005	context_22005	context_22005,menu_22005	complete_22005	uncom_22005	target_22005	task_TrackInfo_22005		CanAcceptMenu_22005	UncompleteMenu_22005	CompleteMenu_22005					1	0	0	0	0	1	
22006	恍若隔世		s030101	1	FuncNpc00058	FuncNpc00058	3	3			22005	22007		739						task\task22006.lua	title_22006	context_22006	context_22006,menu_22006	complete_22006	uncom_22006	target_22006	task_TrackInfo_22006		CanAcceptMenu_22006	UncompleteMenu_22006	CompleteMenu_22006					1	0	0	0	0	1	
22007	恍若隔世		s030101	1	FuncNpc00058	FuncNpc00051	3	3			22006	22008									title_22007	context_22007	context_22007,menu_22007	complete_22007	uncom_22007	target_22007	task_TrackInfo_22007		CanAcceptMenu_22007	UncompleteMenu_22007	CompleteMenu_22007					1	0	0	0	0	1	
22008	恍若隔世		s030101	1	FuncNpc00051	FuncNpc00054	3	3			22007	22009									title_22008	context_22008	context_22008,menu_22008	complete_22008	uncom_22008	target_22008	task_TrackInfo_22008		CanAcceptMenu_22008	UncompleteMenu_22008	CompleteMenu_22008					1	0	0	0	0	1	
22009	恍若隔世		s030101	1	FuncNpc00054	FuncNpc00054	3	3			22008	22011									title_22009	context_22009	context_22009,menu_22009	complete_22009	uncom_22009	target_22009	task_TrackInfo_22009		CanAcceptMenu_22009	UncompleteMenu_22009	CompleteMenu_22009					1	0	0	0	0	1	
22011	恍若隔世		s030101	1	FuncNpc00054	FuncNpc00054	3	3			22009	22012				11					title_22011	context_22011	context_22011,menu_22011	complete_22011	uncom_22011	target_22011	task_TrackInfo_22011		CanAcceptMenu_22011	UncompleteMenu_22011	CompleteMenu_22011					1	0	0	0	0	1	
22012	恍若隔世		s030101	1	FuncNpc00054	WorldNpc00501	3	3			22011	22013									title_22012	context_22012	context_22012,menu_22012	complete_22012	uncom_22012	target_22012	task_TrackInfo_22012		CanAcceptMenu_22012	UncompleteMenu_22012	CompleteMenu_22012					1	0	0	0	0	1	
22013	庄中奇遇		s030102	1	WorldNpc00501	WorldNpc00629	3	3			22012	22014									title_22013	context_22013	context_22013,menu_22013	complete_22013	uncom_22013	target_22013	task_TrackInfo_22013		CanAcceptMenu_22013	UncompleteMenu_22013	CompleteMenu_22013					1	0	0	0	0	1	
22014	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00629	3	3			22013	22015									title_22014	context_22014	context_22014,menu_22014	complete_22014	uncom_22014	target_22014	task_TrackInfo_22014	next_22014	CanAcceptMenu_22014	UncompleteMenu_22014	CompleteMenu_22014					1	0	0	0	0	1	
22015	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00629	3	3			22014	22017									title_22015	context_22015	context_22015,menu_22015	complete_22015	uncom_22015	target_22015	task_TrackInfo_22015		CanAcceptMenu_22015	UncompleteMenu_22015	CompleteMenu_22015					1	0	0	0	0	1	
22017	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00629	3	3			22015	22019									title_22017	context_22017	context_22017,menu_22017	complete_22017	uncom_22017	target_22017	task_TrackInfo_22017		CanAcceptMenu_22017	UncompleteMenu_22017	CompleteMenu_22017					1	0	0	0	0	1	
22019	庄中奇遇		s030102	1	WorldNpc00629	WorldNpc00595	3	3			22017	22021									title_22019	context_22019	context_22019,menu_22019	complete_22019	uncom_22019	target_22019	task_TrackInfo_22019	next_22019	CanAcceptMenu_22019	UncompleteMenu_22019	CompleteMenu_22019					1	0	0	0	0	1	
22021	庄中奇遇		s030102	1	WorldNpc00595	WorldNpc00694	3	3			22019	22023									title_22021	context_22021	context_22021,menu_22021	complete_22021	uncom_22021	target_22021	task_TrackInfo_22021		CanAcceptMenu_22021	UncompleteMenu_22021	CompleteMenu_22021					1	0	0	0	0	1	
22023	庄中奇遇		s030102	1	WorldNpc00694	WorldNpc00591	3	3			22021	22024									title_22023	context_22023	context_22023,menu_22023	complete_22023	uncom_22023	target_22023	task_TrackInfo_22023		CanAcceptMenu_22023	UncompleteMenu_22023	CompleteMenu_22023					1	0	0	0	0	1	
22024	庄中奇遇		s030102	1	WorldNpc00591	WorldNpc00591	3	3	22025		22023	22025									title_22024	context_22024	context_22024,menu_22024	complete_22024	uncom_22024	target_22024	task_TrackInfo_22024		CanAcceptMenu_22024	UncompleteMenu_22024	CompleteMenu_22024					1	0	0	0	0	1	
22025	天外之音		s030103	1		WorldNpc00501	3	3			22024	22026									title_22025	context_22025	context_22025,menu_22025	complete_22025	uncom_22025	target_22025	task_TrackInfo_22025		CanAcceptMenu_22025	UncompleteMenu_22025	CompleteMenu_22025					1	0	0	0	0	1	
22026	天外之音		s030103	1	WorldNpc00501	WorldNpc00690	3	3			22025	22027									title_22026	context_22026	context_22026,menu_22026	complete_22026	uncom_22026	target_22026	task_TrackInfo_22026		CanAcceptMenu_22026	UncompleteMenu_22026	CompleteMenu_22026					1	0	0	0	0	1	
22027	天外之音		s030103	1	WorldNpc00690	WorldNpc00690	3	3			22026	22028									title_22027	context_22027	context_22027,menu_22027	complete_22027	uncom_22027	target_22027	task_TrackInfo_22027		CanAcceptMenu_22027	UncompleteMenu_22027	CompleteMenu_22027					1	0	0	0	0	1	
22028	天外之音		s030103	1	WorldNpc00690	WorldNpc00690	3	3			22027	22030				12					title_22028	context_22028	context_22028,menu_22028	complete_22028	uncom_22028	target_22028	task_TrackInfo_22028		CanAcceptMenu_22028	UncompleteMenu_22028	CompleteMenu_22028					1	0	0	0	0	1	
22030	天外之音		s030103	1	WorldNpc00690	WorldNpc00690	3	3			22028	22031									title_22030	context_22030	context_22030,menu_22030	complete_22030	uncom_22030	target_22030	task_TrackInfo_22030		CanAcceptMenu_22030	UncompleteMenu_22030	CompleteMenu_22030					1	0	0	0	0	1	
22031	天外之音		s030103	1	WorldNpc00690	WorldNpc00574	3	3			22030	22032									title_22031	context_22031	context_22031,menu_22031	complete_22031	uncom_22031	target_22031	task_TrackInfo_22031	next_22031	CanAcceptMenu_22031	UncompleteMenu_22031	CompleteMenu_22031					1	0	0	0	0	1	
22032	天外之音		s030103	1	WorldNpc00574	WorldNpc00574	3	3			22031	22033									title_22032	context_22032	context_22032,menu_22032	complete_22032	uncom_22032	target_22032	task_TrackInfo_22032		CanAcceptMenu_22032	UncompleteMenu_22032	CompleteMenu_22032					1	0	0	0	0	1	
22033	天外之音		s030103	1	WorldNpc00574	WorldNpc00574	3	3			22032	22034									title_22033	context_22033	context_22033,menu_22033	complete_22033	uncom_22033	target_22033	task_TrackInfo_22033		CanAcceptMenu_22033	UncompleteMenu_22033	CompleteMenu_22033					1	0	0	0	0	1	
22034	天外之音		s030103	1	WorldNpc00574	WorldNpc00574	3	3			22033	22035									title_22034	context_22034	context_22034,menu_22034	complete_22034	uncom_22034	target_22034	task_TrackInfo_22034		CanAcceptMenu_22034	UncompleteMenu_22034	CompleteMenu_22034					1	0	0	0	0	1	
22035	天外之音		s030103	1	WorldNpc00574	WorldNpc00574	3	3			22034	22036									title_22035	context_22035	context_22035,menu_22035	complete_22035	uncom_22035	target_22035	task_TrackInfo_22035		CanAcceptMenu_22035	UncompleteMenu_22035	CompleteMenu_22035					1	0	0	0	0	1	
22036	天外之音		s030103	1	WorldNpc00574	WorldNpc00583	3	3			22035	22037				13					title_22036	context_22036	context_22036,menu_22036	complete_22036	uncom_22036	target_22036	task_TrackInfo_22036		CanAcceptMenu_22036	UncompleteMenu_22036	CompleteMenu_22036					1	0	0	0	0	1	
22037	重入江湖		s030104	1	WorldNpc00583	WorldNpc00566	3	3			22036	22038				14					title_22037	context_22037	context_22037,menu_22037	complete_22037	uncom_22037	target_22037	task_TrackInfo_22037		CanAcceptMenu_22037	UncompleteMenu_22037	CompleteMenu_22037					1	0	0	0	0	1	
22038	重入江湖		s030104	1	WorldNpc00566	WorldNpc00566	3	3			22037	22039									title_22038	context_22038	context_22038,menu_22038	complete_22038	uncom_22038	target_22038	task_TrackInfo_22038		CanAcceptMenu_22038	UncompleteMenu_22038	CompleteMenu_22038					1	0	0	0	0	1	
