STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
46001	心灰意冷		s110101	4	WorldNpc03305	WorldNpc03305	7	7				46002				30000					title_46001	context_46001	context_46001,menu_46001	complete_46001	uncom_46001	target_46001	task_TrackInfo_46001	next_46001	CanAcceptMenu_46001	UncompleteMenu_46001	CompleteMenu_46001					1	0	0	0	0		
46002	心灰意冷		s110101	4	WorldNpc03305	WorldNpc03312	7	7			46001	46003									title_46002	context_46002	context_46002,menu_46002	complete_46002	uncom_46002	target_46002	task_TrackInfo_46002	next_46002	CanAcceptMenu_46002	UncompleteMenu_46002	CompleteMenu_46002					1	0	0	0	0		
46003	心灰意冷		s110101	4	WorldNpc03312	WorldNpc03312	7	7			46002	46004									title_46003	context_46003	context_46003,menu_46003	complete_46003	uncom_46003	target_46003	task_TrackInfo_46003	next_46003	CanAcceptMenu_46003	UncompleteMenu_46003	CompleteMenu_46003					1	0	0	0	0		
46004	心灰意冷		s110101	4	WorldNpc03312	WorldNpc03335	7	7			46003	46005									title_46004	context_46004	context_46004,menu_46004	complete_46004	uncom_46004	target_46004	task_TrackInfo_46004	next_46004	CanAcceptMenu_46004	UncompleteMenu_46004	CompleteMenu_46004					1	0	0	0	0		
46005	心灰意冷		s110101	4	WorldNpc03335	WorldNpc03335	7	7			46004	46006									title_46005	context_46005	context_46005,menu_46005	complete_46005	uncom_46005	target_46005	task_TrackInfo_46005	next_46005	CanAcceptMenu_46005	UncompleteMenu_46005	CompleteMenu_46005					1	0	0	0	0		
46006	心灰意冷		s110101	4	WorldNpc03335	WorldNpc03313	7	7			46005	46007									title_46006	context_46006	context_46006,menu_46006	complete_46006	uncom_46006	target_46006	task_TrackInfo_46006	next_46006	CanAcceptMenu_46006	UncompleteMenu_46006	CompleteMenu_46006					1	0	0	0	0		
46007	心灰意冷		s110101	4	WorldNpc03313	WorldNpc03313	7	7			46006	46008									title_46007	context_46007	context_46007,menu_46007	complete_46007	uncom_46007	target_46007	task_TrackInfo_46007	next_46007	CanAcceptMenu_46007	UncompleteMenu_46007	CompleteMenu_46007					1	0	0	0	0		
46008	心灰意冷		s110101	4	WorldNpc03313	WorldNpc03312	7	7			46007	46009									title_46008	context_46008	context_46008,menu_46008	complete_46008	uncom_46008	target_46008	task_TrackInfo_46008	next_46008	CanAcceptMenu_46008	UncompleteMenu_46008	CompleteMenu_46008					1	0	0	0	0		
46009	心灰意冷		s110101	4	WorldNpc03312	WorldNpc03312	7	7			46008	46010									title_46009	context_46009	context_46009,menu_46009	complete_46009	uncom_46009	target_46009	task_TrackInfo_46009	next_46009	CanAcceptMenu_46009	UncompleteMenu_46009	CompleteMenu_46009					1	0	0	0	0		
46010	心灰意冷		s110101	4	WorldNpc03312	WorldNpc03335	7	7			46009	46011									title_46010	context_46010	context_46010,menu_46010	complete_46010	uncom_46010	target_46010	task_TrackInfo_46010	next_46010	CanAcceptMenu_46010	UncompleteMenu_46010	CompleteMenu_46010					1	0	0	0	0		
46011	心灰意冷		s110101	4	WorldNpc03335	WorldNpc03372	7	7			46010	46012									title_46011	context_46011	context_46011,menu_46011	complete_46011	uncom_46011	target_46011	task_TrackInfo_46011	next_46011	CanAcceptMenu_46011	UncompleteMenu_46011	CompleteMenu_46011					1	0	0	0	0		
46012	心灰意冷		s110101	4	WorldNpc03372	WorldNpc03372	7	7			46011	46013									title_46012	context_46012	context_46012,menu_46012	complete_46012	uncom_46012	target_46012	task_TrackInfo_46012	next_46012	CanAcceptMenu_46012	UncompleteMenu_46012	CompleteMenu_46012					1	0	0	0	0		
46013	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46012	46014									title_46013	context_46013	context_46013,menu_46013	complete_46013	uncom_46013	target_46013	task_TrackInfo_46013	next_46013	CanAcceptMenu_46013	UncompleteMenu_46013	CompleteMenu_46013					1	0	0	0	0		
46014	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46013	46015									title_46014	context_46014	context_46014,menu_46014	complete_46014	uncom_46014	target_46014	task_TrackInfo_46014	next_46014	CanAcceptMenu_46014	UncompleteMenu_46014	CompleteMenu_46014					1	0	0	0	0		
46015	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03440	7	7			46014	46016									title_46015	context_46015	context_46015,menu_46015	complete_46015	uncom_46015	target_46015	task_TrackInfo_46015	next_46015	CanAcceptMenu_46015	UncompleteMenu_46015	CompleteMenu_46015					1	0	0	0	0		
46016	极乐毒谋		s110102	4	WorldNpc03440	WorldNpc03305	7	7			46015	46017									title_46016	context_46016	context_46016,menu_46016	complete_46016	uncom_46016	target_46016	task_TrackInfo_46016	next_46016	CanAcceptMenu_46016	UncompleteMenu_46016	CompleteMenu_46016					1	0	0	0	0		
46017	极乐毒谋		s110102	4	WorldNpc03305	WorldNpc03305	7	7			46016	46018									title_46017	context_46017	context_46017,menu_46017	complete_46017	uncom_46017	target_46017	task_TrackInfo_46017	next_46017	CanAcceptMenu_46017	UncompleteMenu_46017	CompleteMenu_46017					1	0	0	0	0		
46018	极乐毒谋		s110102	4	WorldNpc03305	WorldNpc03312	7	7			46017	46019									title_46018	context_46018	context_46018,menu_46018	complete_46018	uncom_46018	target_46018	task_TrackInfo_46018	next_46018	CanAcceptMenu_46018	UncompleteMenu_46018	CompleteMenu_46018					1	0	0	0	0		
46019	极乐毒谋		s110102	4	WorldNpc03312	WorldNpc03312	7	7			46018	46020									title_46019	context_46019	context_46019,menu_46019	complete_46019	uncom_46019	target_46019	task_TrackInfo_46019	next_46019	CanAcceptMenu_46019	UncompleteMenu_46019	CompleteMenu_46019					1	0	0	0	0		
46020	极乐毒谋		s110102	4	WorldNpc03312	WorldNpc03312	7	7			46019	46021									title_46020	context_46020	context_46020,menu_46020	complete_46020	uncom_46020	target_46020	task_TrackInfo_46020	next_46020	CanAcceptMenu_46020	UncompleteMenu_46020	CompleteMenu_46020					1	0	0	0	0		
46021	极乐毒谋		s110102	4	WorldNpc03312	WorldNpc03441	7	7			46020	46022									title_46021	context_46021	context_46021,menu_46021	complete_46021	uncom_46021	target_46021	task_TrackInfo_46021	next_46021	CanAcceptMenu_46021	UncompleteMenu_46021	CompleteMenu_46021					1	0	0	0	0		
46022	极乐毒谋		s110102	4	WorldNpc03441	WorldNpc03312	7	7			46021	46023									title_46022	context_46022	context_46022,menu_46022	complete_46022	uncom_46022	target_46022	task_TrackInfo_46022	next_46022	CanAcceptMenu_46022	UncompleteMenu_46022	CompleteMenu_46022					1	0	0	0	0		
46023	极乐毒谋		s110102	4	WorldNpc03312	WorldNpc03372	7	7			46022	46024									title_46023	context_46023	context_46023,menu_46023	complete_46023	uncom_46023	target_46023	task_TrackInfo_46023	next_46023	CanAcceptMenu_46023	UncompleteMenu_46023	CompleteMenu_46023					1	0	0	0	0		
46024	极乐毒谋		s110102	4	WorldNpc03372	WorldNpc03372	7	7			46023	46025									title_46024	context_46024	context_46024,menu_46024	complete_46024	uncom_46024	target_46024	task_TrackInfo_46024	next_46024	CanAcceptMenu_46024	UncompleteMenu_46024	CompleteMenu_46024					1	0	0	0	0		
46025	无忧之死		s110103	4	WorldNpc03372	WorldNpc03372	7	7			46024	46026									title_46025	context_46025	context_46025,menu_46025	complete_46025	uncom_46025	target_46025	task_TrackInfo_46025	next_46025	CanAcceptMenu_46025	UncompleteMenu_46025	CompleteMenu_46025					1	0	0	0	0		
46026	无忧之死		s110103	4	WorldNpc03372	WorldNpc03305	7	7			46025	46027									title_46026	context_46026	context_46026,menu_46026	complete_46026	uncom_46026	target_46026	task_TrackInfo_46026	next_46026	CanAcceptMenu_46026	UncompleteMenu_46026	CompleteMenu_46026					1	0	0	0	0		
46027	无忧之死		s110103	4	WorldNpc03305	WorldNpc03305	7	7			46026	46028				30001					title_46027	context_46027	context_46027,menu_46027	complete_46027	uncom_46027	target_46027	task_TrackInfo_46027	next_46027	CanAcceptMenu_46027	UncompleteMenu_46027	CompleteMenu_46027					1	0	0	0	0		
46028	无忧之死		s110103	4	WorldNpc03305	WorldNpc03373	7	7			46027	46029									title_46028	context_46028	context_46028,menu_46028	complete_46028	uncom_46028	target_46028	task_TrackInfo_46028	next_46028	CanAcceptMenu_46028	UncompleteMenu_46028	CompleteMenu_46028					1	0	0	0	0		
46029	无忧之死		s110103	4	WorldNpc03373	WorldNpc03373	7	7			46028	46030									title_46029	context_46029	context_46029,menu_46029	complete_46029	uncom_46029	target_46029	task_TrackInfo_46029	next_46029	CanAcceptMenu_46029	UncompleteMenu_46029	CompleteMenu_46029					1	0	0	0	0		
46030	无忧之死		s110103	4	WorldNpc03373	WorldNpc03335	7	7			46029	46031									title_46030	context_46030	context_46030,menu_46030	complete_46030	uncom_46030	target_46030	task_TrackInfo_46030	next_46030	CanAcceptMenu_46030	UncompleteMenu_46030	CompleteMenu_46030					1	0	0	0	0		
46031	无忧之死		s110103	4	WorldNpc03335	WorldNpc03335	7	7			46030	46032									title_46031	context_46031	context_46031,menu_46031	complete_46031	uncom_46031	target_46031	task_TrackInfo_46031	next_46031	CanAcceptMenu_46031	UncompleteMenu_46031	CompleteMenu_46031					1	0	0	0	0		
46032	无忧之死		s110103	4	WorldNpc03335	WorldNpc03335	7	7			46031	46033									title_46032	context_46032	context_46032,menu_46032	complete_46032	uncom_46032	target_46032	task_TrackInfo_46032	next_46032	CanAcceptMenu_46032	UncompleteMenu_46032	CompleteMenu_46032					1	0	0	0	0		
46033	无忧之死		s110103	4	WorldNpc03335	WorldNpc03441	7	7			46032	46034									title_46033	context_46033	context_46033,menu_46033	complete_46033	uncom_46033	target_46033	task_TrackInfo_46033	next_46033	CanAcceptMenu_46033	UncompleteMenu_46033	CompleteMenu_46033					1	0	0	0	0		
