STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
40001	TaskItemClone_001012	1	1	1	
40002	TaskItemClone_001011	1	1	1	
40003	TaskItemClone_001026	1	1	1	
40004	TaskItemClone_001010	1	1	1	
40005	TaskItemClone_0171127	1	0	1	
40006	useitemclone017001	1	0	1	
40007	TaskItemClone_0171137	1	0	1	
40008	TaskItemClone_0171134	1	0	1	
40009	TaskItemClone_0171135	1	0	1	
40010	TaskItemClone_002001	1	0	1	
40011	useitemclone002004	1	0	1	
40012	TaskItemClone_002002	1	0	1	
40013	TaskItemClone_002003	1	0	1	
40014	TaskItemClone_002004	1	0	1	
40015	TaskItemClone_002005	1	0	1	
40016	useitemclone002002	1	0	1	
40017	useitemclone002005	1	0	1	
40018	useitemclone002008	1	1	1	
40019	TaskItemClone_002016	1	0	1	
40020	TaskItemClone_002017	1	0	1	
40022	useitemclone002007	1	0	1	
40023	TaskItemClone009006	1	1	1	
40025	useitemclone005001	1	0	1	
40026	TaskItemClone005003	1	1	1	
40027	useitemclone005002	1	0	1	
40028	useitemclone005003	1	0	1	
40029	useitemclone005004	1	0	5	
40030	useitemclone002006	1	0	1	
