STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
1001	taskitem_374	0	1	2	
1002	taskitem_33h	1	1	1	
1003	taskitem_2f	1	0	1	
1004	useitem_2f	1	0	1	
1005	taskitem_48b	1	1	1	
1006	useitem_5f	1	0	1	
1007	useitem_9f	1	0	1	
1008	useitem_11f	1	1	1	
1009	useitem_6f	1	0	1	
1010	taskitem_6f	1	0	1	
1011	taskitem_5f	1	0	8	
1012	taskitem_6f	1	0	5	
1013	useitem_7f	1	0	1	
1014	useitem_8f	1	0	3	
1015	taskitem_9f	1	1	1	
1016	taskitem_9f	1	1	1	
1017	taskitem_9f	1	1	1	
1018	taskitem_9f	1	1	1	
1019	useitem_10f	1	0	1	
1020	useitem_12f	1	1	1	
1021	useitem_13f	1	1	1	
1022	useitem_14f	1	1	1	
1023	taskitem_22f	1	0	1	
1024	useitem_17f	1	1	1	
1025	taskitem_19f	1	1	1	
1026	useitem_15f	1	0	1	
1027	taskitem_24f	1	1	1	
1028	taskitem_25f	1	1	1	
1029	useitem_18f	1	0	1	
1030	taskitem_28f	1	1	1	
1031	taskitem_25f	1	1	1	
1032	useitem_19f	1	0	1	
1033	useitem_6h	1	1	1	
1034	taskitem_5h	1	1	1	
1035	taskitem_5h	1	1	1	
1036	taskitem_6h	1	1	1	
1037	taskitem_6h	1	1	1	
1038	useitem_5h	1	0	1	
1039	taskitem_7h	1	0	1	
1040	taskitem_3b	0	1	1	
1041	useitem_9b	1	1	1	
1042	useitem_8b	1	0	1	
1043	useitem_7b	1	0	1	
1044	taskitem_8b	1	1	1	
1045	taskitem_9b	1	0	1	
1046	useitem_1a	1	0	1	
1047	taskitem_2a	1	1	1	
1048	taskitem_3a	1	1	1	
1049	useitem_2a	1	0	1	
1050	taskitem_6a	1	0	1	
1051	taskitem_6a	1	0	1	
1052	useitem_3a	1	0	3	
1053	taskitem_10a	1	1	1	
1054	taskitem_413	1	0	1	
1055	taskitem_414	0	1	1	
1056	taskitem_411	1	1	1	
1057	useitem_15b	1	0	1	
1058	useitem_14b	1	0	1	
1059	useitem_13b	1	0	1	
1060	taskitem_28b	1	0	1	
1061	useitem_16b	1	0	1	
1062	taskitem_13a	1	0	1	
1063	taskitem_414	1	0	1	
1064	taskitem_22a	1	0	1	
1065	useitem_14a	1	0	1	
1066	taskitem_29a	1	1	1	
1067	taskitem_18a	1	1	1	
1068	taskitem_33h	1	1	1	
1069	useitem_6a	1	1	1	
1070	useitem_9a	1	0	1	
1071	useitem_11a	1	0	1	
1072	useitem_12a	1	0	1	
1073	taskitem_27a	1	0	1	
1074	taskitem_28a	1	1	1	
1075	taskitem_30a	1	0	1	
1076	useitem_13a	1	0	1	
1077	useitem_26a	1	0	1	
1078	useitem_14a	1	0	1	
1079	useitem_15a	1	0	1	
1080	useitem_16a	1	0	1	
1081	useitem_18a	1	0	1	
1082	useitem_20a	0	1	1	
1083	taskitem_33a	1	1	1	
1084	taskitem_35a	1	0	1	
1085	taskitem_36a	1	0	1	
1086	taskitem_39a	1	0	1	
1087	taskitem_35a	1	0	1	
1088	taskitem_36a	1	0	1	
1089	useitem_21a	1	0	1	
1090	useitem_22a	1	0	1	
1091	taskitem_42a	1	1	1	
1092	taskitem_43a	1	0	0	
1093	taskitem_44a	1	1	1	
1094	useitem_23a	1	0	4	
1095	useitem_24a	1	0	1	
1096	useitem_25a	1	0	1	
1097	useitem_17b	1	0	1	
1098	useitem_18b	1	0	1	
1099	taskitem_29b	1	1	1	
1100	taskitem_29b	1	0	1	
1101	useitem_19b	1	0	1	
1102	taskitem_34b	1	1	1	
1103	useitem_20b	1	0	1	
1104	useitem_26b	1	1	1	
1105	taskitem_29b	1	1	1	
1106	taskitem_36b	1	1	1	
1107	taskitem_36b	1	1	1	
1108	useitem_21b	1	0	1	
1109	useitem_22b	1	1	1	
1110	taskitem_417	1	0	1	
1111	taskitem_36b	1	1	1	
1112	taskitem_36b	1	1	1	
1113	useitem_23b	1	0	3	
1114	useitem_24b	1	0	3	
1115	useitem_24b	1	1	1	
1116	useitem_25b	1	0	1	
1117	taskitem_7h	0	1	1	
1118	taskitem_6b	0	1	1	
1119	taskitem_8b	0	1	1	
1120	taskitem_9b	0	1	1	
1121	useitem_42b	1	0	1	
1122	taskitem_3a	1	0	1	
1123	taskitem_3a	0	1	1	
1124	taskitem_6a	0	1	1	
1125	taskitem_413	0	1	1	
1126	taskitem_27b	0	1	1	
1127	taskitem_49b	0	1	1	
1128	taskitem_50b	0	1	1	
1129	taskitem_50b	1	0	1	
1130	taskitem_51b	1	0	1	
1131	taskitem_52b	1	0	1	
1132	taskitem_52b	0	1	1	
1133	useitem_46b	1	0	1	
1134	taskitem_414	0	1	1	
1135	useitem_47b	1	0	1	
1136	taskitem_33h	1	1	1	
1137	taskitem_56b	1	1	1	
1138	taskitem_57b	1	1	1	
1139	taskitem_59b	1	1	1	
1140	useitem_19a	0	1	1	
1141	useitem_17a	0	1	1	
1142	useitem_49b	1	0	4	
1143	taskitem_34a	1	1	1	
1144	taskitem_34a	1	0	1	
1145	useitem_50b	1	0	2	
1146	useitem_50b	1	0	1	
1147	taskitem_62b	1	1	1	
1148	taskitem_45a	0	1	1	
