STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
9201					
9202	useitem_2yc	1	0	1	
9203	useitem_3yc	1	0	1	
9204	taskitem_yc006	1	1	1	
9205	taskitem_yc005	0	0	1	
9206	taskitem_yc005	0	1	1	
9207	taskitem_yc010	1	1	1	
9208	taskitem_yc007	0	1	1	
9209	useitem_4yc	0	1	1	
9210	taskitem_yc014	1	0	1	
9211	taskitem_yc015	1	1	1	
9212	taskitem_yc016	0	1	1	
9213	useitem_9yc	1	0	1	
9214	useitem_7yc	1	0	1	
9215					
9216					
9217					
9218					
9219					
9220					
9221					
9222					
9223					
9224					
9225					
9226					
9227					
9228					
9229					
9230					
9231					
9232					
9233					
9234					
9235					
9236					
9237					
9238					
9239					
9240					
9241					
9242					
9243					
9244					
9245					
9246					
9247					
9248					
9249					
9250					
9251					
9252					
9253					
9254					
9255					
9256					
9257					
9258					
9259					
9260					
9261					
9262					
9263					
9264					
9265					
9266					
9267					
9268					
9269					
9270					
9271					
9272					
9273					
9274					
9275					
9276					
9277					
