STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																						
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID																						
4001	useitem_2f	1	1	useitem24031_1	1	0	5	1	0			WorldNpc00017																							
4002	useitem_3f	1	1	useitem24031_2	1	1	0	1	0			WorldNpc00017																							
4003	useitem_5f	1	1	useitem24046	1	0	0	1	0																										
4004	useitem_9f	1	1	useitem24053	1	0	0	1	1	taskitem_11f																									
4005	useitem_6f	1	1	useitem24059	0	0	0	1	0		taskitem_6f																								
4006	useitem_7f	1	1	useitem24065	1	0	0	1	0																										
4007	useitem_10f	1	1	useitem24089	0	1	0	10	0			Gather00010f																							
4008	useitem_12f	1	1	useitem24104_1	0	1	3	21	0			ItemNpc04001																							
4009	useitem_12f	1	1	useitem24104_2	0	1	3	21	0			ItemNpc04002																							
4010	useitem_12f	1	1	useitem24104_3	0	1	3	21	0			ItemNpc04003																							
4011	useitem_13f	1	1	useitem24107	0	0	0	21	0	taskitem_18f	taskitem_15f;taskitem_16f																								
4012	useitem_14f	1	1	useitem24109_1	0	1	3	21	0			ItemNpc04001																							
4013	useitem_14f	1	1	useitem24109_2	0	1	3	21	0			ItemNpc04002																							
4014	useitem_14f	1	1	useitem24109_3	0	1	3	21	0			ItemNpc04003																							
4015	useitem_15f	1	1	useitem24130_1	1	0	20	21	1	useitem_16f		EventNpc24130																							
4016	useitem_16f	1	1	useitem24130_2	1	1	5	21	0			WorldNpc06011																							
4017	useitem_6h	1	1	useitem24207	0	0	5	17	0			ItemNpc12002																							
4018	useitem_5h	1	1	useitem24232	1	0	0	17	0			WorldNpc09601																							
4019	useitem_9b	1	1	useitem24244	0	0	3	1	0			EventNpc24249																							
4020	useitem_8b	1	1	useitem24260	1	1	2	1	0			WorldNpc00032																							
4021	useitem_7b	1	1	useitem24263	1	0	0	1	0	taskitem_6b																									
4022	useitem_1a	1	1	useitem24291	1	0	0	13	0																										
4023	useitem_2a	1	1	useitem24307	1	1	5	20	0			WorldNpc06613																							
4024	useitem_3a	3	1	useitem24330	1	0	50	20	0			EventNpc24330																							
4025	useitem_15b	1	1	useitem24380	1	0	0	13	0																										
4026	useitem_14b	1	1	useitem24383	1	0	0	13	0																										
4027	useitem_13b	1	1	useitem24394	1	1	5	10	0			WorldNpc02614																							
4028	useitem_16b	1	1	useitem24423	1	1	5	10	0			WorldNpc02647																							
4029	useitem_10a	1	1	useitem24444	1	1	15	9	0			WorldNpc02527																							
4030	useitem_8a	0	0	useitem24478	1	0	0	9	0	taskitem_20a																									
4031	useitem_4a	4	1	useitem24487_1	0	1	5	22	0			Gather00026b																							
4032	useitem_6a	1	1	useitem24501	0	0		9	0																										
4033	useitem_9a	1	1	useitem24503	1	0		9																											
4034	useitem_11a	1	1	useitem24506	1	0		22																											
4035	useitem_12a	1	1	useitem24513	1	1	5	22	0			WorldNpc06128																							
4036	useitem_13a	1	1	useitem24536	1	1	5	9	0			WorldNpc02433																							
4037	useitem_26a	1	1	useitem24537	1	0		9	0																										
4038	useitem_14a	1	1	useitem24539	1	0		9	0																										
4039	useitem_15a	1	1	useitem24555	1	1	5	9	0			WorldNpc02440																							
4040	useitem_16a	1	1	useitem24552	1	0		9	0																										
4041	useitem_17a	4	1	useitem24549	0	1	5	9	0			monm052700																							
4042	useitem_18a	1	1	useitem24564	1	1	5	9	0			monrm058500																							
4043	useitem_19a	1	1	useitem24567	1	1	5	9	0			ItemNpc02012																							
4044	useitem_20a	1	1	useitem24569	1	1	5	9	0			WorldNpc02443																							
4045	useitem_21a	1	1	useitem24597	1	1	5	9	0			WorldNpc02451																							
4046	useitem_22a	1	1	useitem24600	1	1	5	9	0			WorldNpc02452																							
4047	useitem_23a	4	1	useitem24614	1	1	5	9	0			ItemNpc02013																							
4048	useitem_24a	1	1	useitem24621	1	0		9	0																										
4049	useitem_25a	1	1	useitem24624	1	0		9	0																										
4050	useitem_17b				1	0	0	11	0	taskitem_29b																									
4051	useitem_18b	1	1	useitem24642	1	1	3	11	0			WorldNpc04709																							
4052	useitem_19b	1	1	useitem24653	1	0	0	11	0	taskitem_33b																									
