ID	Name	Title	Model	Kind	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	ShopTemplateID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	ShopOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeLowLimit1	ReputeHighLimit1	ReputeID2	ReputeValue2	ReputeLowLimit2	ReputeHighLimit2	ReputeID3	ReputeValue3	ReputeLowLimit3	ReputeHighLimit3	ReputeID4	ReputeValue4	ReputeLowLimit4	ReputeHighLimit4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	IsRandomDailyQuest	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillInterval6	SkillInterval7	SkillInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	HasGameCardSale	GameCardSaleOptionText	GameCardTradeRequireReputeLevel	HasGameCardBuy	GameCardBuyOptionText
0				2	0	1	1	0	1	0	950	28	3	1	1		180	85	0	0	80	0	0	100	6	22	9000	0	0	0	0	1	12	12	12	12	12	0	1	1	1	1	0	0	1	7	3	7	3	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	0	0	32	1	1024	16	8	4800	0	20		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	新手村	0	0	1	1	0	0		0		0		0											0	0	1	13	0	0	1	13	0	0	1	13	0	0	1	13	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	0	3	1	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	32	32	32	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0			0		
1	果子狸				29		2	18		1	360	42	3				180	53			0					22						1	11	11	11	11	11	0	0	0	0	0		1	24	19	10	19	10	28	1	23			13	10																																	1										1		0	0	0	新手村			2																																						0	9000									3							3	1	78																																																			29				0											
2	aitCritter												3					51			45					28						1	12	12	12	12	12	0	1	1	1	1		2		18	8	18	8																																																		1		0	2	629145																																										0	9000																3	1	78																																																			0				0											
3	受伤的灰狼				29		2	242	2	1	650	71	3				180	50			0					22						2	15	15	15	15	15	0	0	0	0	0		3	24	24	11	24	11	28	1	27			17	10				1			8																										3										360		0	0	0	新手村			2	3																																					0	9000									4							3	2	86																																																			29				0											
4	小野猪				29		2	22	3	1	800	62					180	70			0					22						3	17	17	17	17	17	0	1	1	1	1		4	23	20	10	20	10	28	1	23			13	10				1			8																										4										354		0	0	0	新手村			2																																						0	9000									3							3	3	94																																																			29				0											
5	aitMonk												3					51			45					28						1	12	12	12	12	12	0	1	1	1	1		5		18	8	18	8																																																		1		0	2	629145																																										0	9000																3	1	78																																																			0				0											
6	灰狼				29		2	242	7	1	650	71	3				300	90			0					22						11	34	34	34	34	34	0	3	3	3	3		6	13	27	14	27	14	28	1	27			17	10				1			8																										3										360		0	0	0	新手村			2	3																																					0	9000									3							3	7	126																																																			29				0											
7	黑野猪				29		2	22	5	1	800	62	3				180	89			0					22	9450					7	24	24	24	24	24	0	2	2	2	2		7	23	21	11	21	11	28	1	23			13	10				1			8																										6										354		0	0	0	新手村			2	0																																					0	9000									3							3	5	110																																																			29				0											
8	小毛贼				28			183	6	1		29	3				240	94			85					22						9	30	30	30	30	30	0	6	6	6	6	1	8	14	27	13	27	13	28	1	42			32	10																																	7										1		1	8	629145	新手村																																									0	9000									7							3	6	118																																																			28				0											
9	小流氓				28			183	6	1		26	3				240	77			88					22						8	33	33	33	33	33	0	6	6	6	6	1	9	14	24	13	24	13	28	1	31			21	10																																	8										1		1	8	629145	新手村				3																																					0	9000									7							3	6	118																																																			28				0											
10	香山山贼				28			171	8	3		33	3				240	115			103					22						14	40	40	40	40	40	0	8	8	8	8	1	10	14	22	10	22	10	28	1	30			20	10			32	1		17	8																										9										1		2	14	629145	新手村																																									0	9000									5							3	8	134																																																			28				0											
11	香山强盗				28			171	8	1		33	3				240	115			103					22						14	40	40	40	40	40	0	8	8	8	8	1	11	13	22	10	22	10	28	1	30			20	10			32	1		17	8																										161										1		2	14	629145	新手村																																									0	9000									5							3	8	134																																																			28				0											
12	香山打手				28			171	7	1		33	3				240	104			94					22						11	35	35	35	35	35	0	7	7	7	7	1	12	13	21	10	21	10	28	1	28			18	10			32	1			8																										168										1		2	11	629145	新手村																																									0	9000									5							3	7	126																																																			28				0											
