STRING	STRING	STRING	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLint	TaskItemList	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	NotShowMenu	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	RefreshMonster
22072	谷中考验		030106	1	WorldNpc01452	WorldNpc01371				22070	22073							title_22072	context_22072	context_22072,menu_22072	complete_22072	uncom_22072	target_22072	task_TrackInfo_22072		CanAcceptMenu_22072	UncompleteMenu_22072	CompleteMenu_22072						1	0	0	0	0	1		
22073	地宫真相		030107	1	WorldNpc01371	WorldNpc01370				22072	22075							title_22073	context_22073	context_22073,menu_22073	complete_22073	uncom_22073	target_22073	task_TrackInfo_22073		CanAcceptMenu_22073	UncompleteMenu_22073	CompleteMenu_22073						1	0	0	0	0	1		
22075	地宫真相		030107	1	WorldNpc01370	WorldNpc01370				22073	22078							title_22075	context_22075	context_22075,menu_22075	complete_22075	uncom_22075	target_22075	task_TrackInfo_22075		CanAcceptMenu_22075	UncompleteMenu_22075	CompleteMenu_22075						1	0	0	0	0	1		
22078	地宫真相		030107	1	WorldNpc01370	WorldNpc01369				22075	22079							title_22078	context_22078	context_22078,menu_22078	complete_22078	uncom_22078	target_22078	task_TrackInfo_22078		CanAcceptMenu_22078	UncompleteMenu_22078	CompleteMenu_22078						1	0	0	0	0	1		
22079	地宫真相		030107	1	WorldNpc01369	WorldNpc01369				22078	22080							title_22079	context_22079	context_22079,menu_22079	complete_22079	uncom_22079	target_22079	task_TrackInfo_22079		CanAcceptMenu_22079	UncompleteMenu_22079	CompleteMenu_22079						1	0	0	0	0	1		
22080	地宫真相		030107	1	WorldNpc01369	WorldNpc01369				22079	22081							title_22080	context_22080	context_22080,menu_22080	complete_22080	uncom_22080	target_22080	task_TrackInfo_22080		CanAcceptMenu_22080	UncompleteMenu_22080	CompleteMenu_22080						1	0	0	0	0	1		
22081	地宫真相		030107	1	WorldNpc01369	WorldNpc01371				22080	22083							title_22081	context_22081	context_22081,menu_22081	complete_22081	uncom_22081	target_22081	task_TrackInfo_22081		CanAcceptMenu_22081	UncompleteMenu_22081	CompleteMenu_22081						1	0	0	0	0	1		
22083	地宫真相		030107	1	WorldNpc01371	WorldNpc01369				22081	22084			17				title_22083	context_22083	context_22083,menu_22083	complete_22083	uncom_22083	target_22083	task_TrackInfo_22083		CanAcceptMenu_22083	UncompleteMenu_22083	CompleteMenu_22083						1	0	0	0	0	1		
22084	地宫真相		030107	1	WorldNpc01369	WorldNpc01369				22083	22085							title_22084	context_22084	context_22084,menu_22084	complete_22084	uncom_22084	target_22084	task_TrackInfo_22084		CanAcceptMenu_22084	UncompleteMenu_22084	CompleteMenu_22084						1	0	0	0	0	1		
