STRING	STRING	STRING	STRING	STRING
ID	Name	Model	Desc	Tips
ID		main		任务ID
Step		main	任务步骤	界面显示:标准格式【1/3】
AcceptNpc	1	main	接任务npc	空
SubmitNpc	1	main	交任务npc	空
AcceptSceneID		main	接任务npc场景	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
SubmitSceneID		main	交任务npc场景	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
PreTaskLimit		main	前置任务ID	空
NextTaskLimit		main	后续任务ID	空
NULL		main		
Line		main	任务分类	"1主线,2环式,3日常,4门派,5支线,6副本"
CanGiveup		main	放弃类型	"1不能放弃,0能放弃"
ShareType		main	共享类型	"0不可共享,1可共享,2自动共享,3副本专用"
RepeatType		main	重复类型	"0不可重复,1接任务开始,n天一轮,2接任务开始,n小时一轮"
RepeatPeriod		main	重复周期	对应RepeatType的n
CountDayLimit		main	重复次数	空
				
RefreshMonster	1	further	刷怪ID	空
TaskItemList	1	further	发放道具ID	空
TaskScript		further	脚本路径	task\taskXXX.lua
NULL		further		
AcceptLimit		further	接任务限制条件	条件表ID
SubmitLimit		further	交任务限制条件	条件表ID
NULL		further		
TimeLimitLength		further	时间限制	单位：分钟
NULL		further		
AutoAcceptID		further	自动承接任务ID	
AutoSubmit		further	是否自动提交	"0不提交,1提交"
NULL		further		
AcceptMovie		further	接任务动画	动画表id
SubmitMovie		further	交任务动画	动画表id
DramaAccept		further	接任务小说	小说表id
DramaSubmit		further	完成任务小说	小说表id
				
ID		monster	刷怪表ID	空
MonsterID	1	monster	刷新怪物编号	空
RSceneID		monster	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
RPosX		monster	刷怪坐标X	空
RPosY		monster	刷怪坐标Y	高度
RPosZ		monster	刷怪坐标Z	空
RLifeTime		monster	生存时间	"单位：秒,标配1800"
				
ID		tool	发放道具表ID	空
ItemId	1	tool	道具ID	空
Count		tool	数量	空
IsGive		tool	是否发放	"0不发放,1发放"
back		tool	是否归还	"0不归还,1归还"
				
ID		hunter	猎杀表ID	空
NpcId	1	hunter	猎杀怪物ID	空
Count		hunter	数量	空
NULL		hunter		
IsNeedCreator		hunter	怪物生成器	空
NULL		hunter		
IsQieCuo		hunter	切磋模式	"0不切磋,1切磋"
NULL		hunter		
